Correlation_Pair;Correlation_Value;Absolute_Correlation
deltaTimestampOpeningSection1min <-> deltaTimestampOpeningSection5min;0.9999;0.9999
deltaTimestampOpeningSection1min <-> deltaTimestampOpeningSection30min;0.9998;0.9998
deltaTimestampOpeningSection1min <-> VolAbvState;nan;nan
bearish_ask_bid_ratio <-> bearish_abs_diff_abv;0.9124;0.9124
bullish_reversal_force <-> bullish_asc_dsc_ratio_special;-0.7692;0.7692
bullish_reversal_force <-> bullish_asc_dynamics;0.6222;0.6222
diffPriceClosePoc_0_1 <-> bullish_asc_ask_bid_imbalance;0.5882;0.5882
diffPriceClosePoc_0_0 <-> bearish_extrem_dsc_ratio_extrem;-0.4579;0.4579
diffPriceClosePoc_0_2 <-> bullish_asc_ask_bid_imbalance;0.3920;0.3920
diffPriceClosePoc_0_0 <-> extrem_zone_significance_bearish_extrem;-0.3782;0.3782
diffPriceClosePoc_0_2 <-> bullish_imbalance_evolution;0.3683;0.3683
diffPriceClosePoc_0_0 <-> extrem_asc_ratio_bearish_extrem;-0.2602;0.2602
diffPriceClosePoc_0_0 <-> bullish_asc_dsc_ratio_special;-0.2371;0.2371
diffPriceClosePoc_0_0 <-> bearish_imbalance_evolution;0.2191;0.2191
deltaTimestampOpeningSection1min <-> bearish_bid_abs_ratio_abv;0.1299;0.1299
deltaTimestampOpeningSection1min <-> bull_imbalance_low_1;0.1265;0.1265
deltaTimestampOpeningSection1min <-> bullish_bid_abs_ratio_blw;0.1211;0.1211
deltaTimestampOpeningSection1min <-> bearish_askBigHigh_abs_ratio_abv_special;-0.1151;0.1151
deltaTimestampOpeningSection1min <-> bearish_bidBigHigh_abs_ratio_abv_special;-0.1107;0.1107
deltaTimestampOpeningSection1min <-> bear_imbalance_high_1;0.0932;0.0932
deltaTimestampOpeningSection1min <-> bull_imbalance_high_0;-0.0814;0.0814
deltaTimestampOpeningSection1min <-> bullish_bidBigStand_abs_ratio_blw;0.0760;0.0760
deltaTimestampOpeningSection1min <-> diffPriceCloseVWAPbyIndex;-0.0750;0.0750
deltaTimestampOpeningSection1min <-> bearish_askBigStand_abs_ratio_abv;0.0750;0.0750
diffPriceCloseVWAPbyIndex <-> bearish_askBigStand_abs_ratio_abv;0.0698;0.0698
range_strength_10_32 <-> bullish_askBigStand_abs_ratio_blw_special;0.0692;0.0692
range_strength_10_32 <-> bullish_askBigHigh_abs_ratio_blw_special;0.0692;0.0692
deltaTimestampOpeningSection1min <-> bearish_imnbScore_score;-0.0678;0.0678
range_strength_10_32 <-> bullish_bidBigStand_abs_ratio_blw_special;0.0676;0.0676
range_strength_10_32 <-> bullish_bidBigHigh_abs_ratio_blw_special;0.0676;0.0676
diffPriceCloseVWAPbyIndex <-> bearish_askBigHigh_abs_ratio_abv_special;-0.0668;0.0668
deltaTimestampOpeningSection1min <-> imbalance_score_high;0.0657;0.0657
deltaTimestampOpeningSection1min <-> bearish_askBigHigh_abs_ratio_abv;0.0621;0.0621
deltaTimestampOpeningSection1min <-> bearish_bidBigHigh_abs_ratio_abv;0.0605;0.0605
deltaTimestampOpeningSection1min <-> bullish_abs_diff_blw;-0.0596;0.0596
diffPriceClosePoc_0_0 <-> bullish_asc_ask_bid_delta_imbalance;-0.0596;0.0596
deltaTimestampOpeningSection1min <-> bullish_bidBigHigh_abs_ratio_blw;0.0572;0.0572
range_strength_10_32 <-> bearish_extrem_revIntensity_ratio_extrem;0.0541;0.0541
deltaTimestampOpeningSection1min <-> bearish_bidBigStand_abs_ratio_abv;0.0526;0.0526
deltaTimestampOpeningSection1min <-> bearish_bidBigStand_abs_ratio_abv_special;-0.0507;0.0507
deltaTimestampOpeningSection1min <-> bearish_abs_diff_abv;-0.0492;0.0492
deltaTimestampOpeningSection1min <-> bear_imbalance_low_2;0.0484;0.0484
deltaTimestampOpeningSection1min <-> bullish_bidBigStand_abs_ratio_blw_special;-0.0483;0.0483
deltaTimestampOpeningSection1min <-> bearish_ask_score;0.0472;0.0472
deltaTimestampOpeningSection1min <-> bear_imbalance_low_0;-0.0464;0.0464
deltaTimestampOpeningSection1min <-> bullish_bid_ratio;0.0461;0.0461
diffPriceClosePoc_0_0 <-> bullish_dsc_ask_bid_imbalance;-0.0437;0.0437
diffPriceCloseVWAPbyIndex <-> bearish_askBigHigh_abs_ratio_abv;0.0436;0.0436
diffPriceCloseVWAPbyIndex <-> bearish_bigStand_abs_diff_abv;0.0416;0.0416
deltaTimestampOpeningSection1min <-> bearish_bid_score;-0.0415;0.0415
deltaTimestampOpeningSection1min <-> perctBB;0.0405;0.0405
deltaTimestampOpeningSection1min <-> bearish_askBigStand_abs_ratio_abv_special;-0.0405;0.0405
deltaTimestampOpeningSection1min <-> bullish_askBigStand_abs_ratio_blw;0.0404;0.0404
deltaTimestampOpeningSection1min <-> ratioDeltaBlw;-0.0377;0.0377
deltaTimestampOpeningSection1min <-> bullish_ask_score;-0.0337;0.0337
deltaTimestampOpeningSection1min <-> bullish_askBigHigh_abs_ratio_blw;0.0334;0.0334
deltaTimestampOpeningSection1min <-> bearish_reversal_force;-0.0332;0.0332
deltaTimestampOpeningSection1min <-> diffLowPrice_0_1;-0.0331;0.0331
diffPriceCloseVWAPbyIndex <-> bearish_bigHigh_abs_diff_abv;0.0329;0.0329
deltaTimestampOpeningSection1min <-> VolBlwState;0.0324;0.0324
