feature;importance;importance_percentage;cumulative_importance_percentage
bearish_extrem_abs_ratio_extrem;-0.0073221554;13.029278;13.029278
bearish_repeatAskBid_ratio;-0.0055181296;9.819136;22.848413
perct_VA16P;-0.0049449313;8.799169;31.647583
bullish_repeatAskBid_ratio;-0.003534249;6.288955;37.93654
bearish_repeat_ticks_ratio_6Tick;-0.0034537858;6.1457767;44.082314
bearish_market_context_score;-0.0032696745;5.8181634;49.90048
bearish_dsc_ask_bid_delta_imbalance;-0.0032152617;5.721339;55.62182
diffPriceCloseVWAP;-0.0022831862;4.062774;59.684593
deltaTimestampOpeningSection30min;0.0020366542;3.6240876;63.30868
bullish_absorption_score;0.0018965716;3.3748202;66.6835
bearish_absorption_score;0.0016131363;2.8704662;69.55397
diffPriceClosePoc_0_4;0.001465266;2.607341;72.16131
deltaTimestampOpeningSection1min;0.0012845261;2.2857268;74.44704
price_volume_dynamic;-0.0012611;2.2440417;76.69108
bear_imbalance_high_3;0.0012412226;2.208671;78.89975
bullish_ask_bid_ratio;-0.0012305571;2.1896927;81.08944
vol_volatility_score;-0.0010682227;1.9008296;82.99027
bull_imbalance_high_0;0.0009261927;1.6480968;84.63837
bearish_extrem_dsc_ratio_extrem;0.00092352275;1.6433458;86.281715
pocDeltaPocVolRatio;-0.00086320646;1.5360171;87.81773
diffLowPrice_0_4;0.0008349558;1.485747;89.30348
imbalance_score_low;0.00072157197;1.2839881;90.58747
bearish_big_trade_ratio_extrem;0.0006363036;1.132259;91.71973
bullish_dsc_ask_bid_imbalance;-0.00051740406;0.9206853;92.64041
cumDiffVolDeltaRatio;0.00045646584;0.8122499;93.45266
bull_imbalance_high_2;0.00044747288;0.79624754;94.24891
diffLowPrice_0_3;0.00044108558;0.7848818;95.03379
bullish_bid_ratio;0.0003957229;0.70416194;95.73795
diffPriceClose_VA21PvaL;-0.00028230334;0.50233954;96.240295
overlap_ratio_VA_6P_21P;0.00024782593;0.44098938;96.68128
bearish_askBigHigh_abs_ratio_abv;0.00021353707;0.3799747;97.06126
absorption_intensity_repeat_bullish_vol;0.00019082136;0.33955362;97.40081
poc_diff_ratio_6P_16P;-0.00017615085;0.31344843;97.71426
bearish_extrem_vs_rest_activity_extrem;0.00016551204;0.29451743;98.00877
perct_VA21P;-0.00016366987;0.2912394;98.30001
ratio_delta_vol_VA21P;0.00016003208;0.2847662;98.58478
bull_imbalance_high_1;-0.00015298628;0.27222866;98.85701
bearish_activity_bid_ask_ratio_6Tick;-0.0001288927;0.22935578;99.086365
diffHighPrice_0_5;0.00010398013;0.18502556;99.27139
ratio_delta_vol_VA6P;-9.63885e-05;0.17151678;99.44291
