feature;importance;importance_percentage;cumulative_importance_percentage
bearish_dsc_ask_bid_delta_imbalance;0.016456;2.7832513;2.7832513
finished_auction_high;-0.013605145;2.3010778;5.084329
bearish_repeatAskBid_ratio;-0.013326828;2.2540054;7.3383346
bull_imbalance_high_0;-0.012685659;2.1455624;9.483897
bearish_absorption_intensity_repeat_count;0.012202339;2.0638173;11.547714
diffPriceCloseVWAP;-0.01209368;2.0454395;13.593154
diffVolCandle_0_1Ratio;-0.010523915;1.7799405;15.373095
VolPocVolCandleRatio;-0.009260487;1.5662532;16.939348
market_regimeADX;-0.00918824;1.5540339;18.493382
perct_VA21P;0.008795589;1.4876237;19.981005
perct_VA11P;-0.008210851;1.3887252;21.36973
bear_imbalance_high_3;0.008030331;1.3581933;22.727922
range_strength_5_23;-0.007935468;1.3421489;24.070072
diffHighPrice_0_4;0.007643591;1.2927828;25.362854
deltaTimestampOpeningSection5min;0.007637543;1.29176;26.654613
perctBB;-0.0076280567;1.2901555;27.944769
bearish_market_context_score;0.0074468814;1.2595128;29.20428
naked_poc_dist_above;-0.007388205;1.2495886;30.453869
bandWidthBB;-0.0072359173;1.2238318;31.6777
bullish_imnbScore_score;-0.007072617;1.1962123;32.873913
vol_volatility_score;-0.0068423776;1.1572713;34.031185
price_volume_dynamic;-0.006679857;1.1297837;35.16097
pocDeltaPocVolRatio;-0.0060564433;1.024344;36.185314
bearish_combined_pressure;-0.0059987204;1.0145811;37.199894
poc_diff_ratio_6P_16P;0.0059984527;1.0145358;38.214428
imbalance_score_high;0.0059719947;1.0100609;39.224487
ratio_delta_vol_VA6P;-0.005879429;0.99440503;40.21889
perct_VA6P;-0.0058478164;0.98905826;41.20795
deltaTimestampOpeningSection1min;-0.0057013542;0.9642866;42.172237
bullish_dsc_dynamics;-0.005663655;0.95791054;43.13015
VolCandleMeanxRatio;-0.0056266454;0.9516509;44.081802
bullish_combined_pressure;-0.0055470807;0.938194;45.019997
diffPriceClose_VA11PvaH;-0.0055315513;0.93556744;45.955563
bearish_imnbScore_score;-0.0054807784;0.92698;46.88254
ratio_delta_vol_VA21P;0.0053641936;0.9072618;47.789803
bear_imbalance_high_1;0.005328397;0.9012073;48.69101
bullish_imbalance_evolution;0.0052634696;0.890226;49.581234
bearish_asc_dynamics;0.0052248435;0.88369304;50.464928
diffPriceClose_VA11PvaL;0.005221936;0.88320124;51.34813
diffVolDelta_0_1Ratio;0.0051975916;0.8790839;52.227215
cumDiffVolDeltaRatio;0.0051310156;0.8678236;53.09504
diffPriceClosePoc_0_4;-0.0050734384;0.8580854;53.953125
diffPriceClose_VA21PvaL;-0.004979952;0.8422738;54.7954
diffPriceClose_VA16PvaH;0.0048697656;0.82363766;55.619038
overlap_ratio_VA_6P_11P;-0.004850942;0.820454;56.43949
bullish_asc_ask_bid_delta_imbalance;0.0047878623;0.8097852;57.249275
bearish_absorption_ratio;-0.0047579347;0.80472344;58.053997
bullish_market_context_score;-0.0047285124;0.7997471;58.853745
bearish_bid_score;0.004624665;0.7821831;59.63593
overlap_ratio_VA_6P_16P;-0.0046107434;0.7798285;60.415756
bearish_imbalance_evolution;-0.004607709;0.7793153;61.195072
ratio_delta_vol_VA11P;-0.004602052;0.77835846;61.97343
bearish_absorption_score;0.0045980914;0.7776886;62.751118
bullish_asc_dsc_ratio;-0.004524782;0.76528955;63.516407
bearish_ask_score;-0.004515382;0.7636997;64.280106
bullish_ask_score;-0.004466257;0.75539106;65.0355
bear_imbalance_high_2;0.0044522905;0.75302887;65.78853
bullish_repeatAskBid_ratio;-0.004433866;0.74991274;66.538445
bearish_ask_abs_ratio_abv;0.004427599;0.74885267;67.2873
diffLowPrice_0_5;0.0042964933;0.72667843;68.01398
imbalance_score_low;0.0042859036;0.7248874;68.73886
bull_imbalance_high_1;0.004125596;0.6977741;69.43664
bullish_dsc_ask_bid_delta_imbalance;-0.0041040685;0.6941331;70.13077
bearish_dsc_ask_bid_imbalance;0.0040265764;0.6810266;70.8118
bull_imbalance_low_3;0.004012088;0.6785761;71.49037
bearish_asc_ask_bid_delta_imbalance;0.0040077325;0.67783946;72.16821
overlap_ratio_VA_11P_21P;-0.0039455458;0.6673217;72.83553
bearish_bid_abs_ratio_abv;-0.0039029773;0.660122;73.49566
bear_imbalance_low_1;-0.003880214;0.65627193;74.15193
bullish_ask_ratio;-0.003829313;0.6476629;74.79959
overlap_ratio_VA_6P_21P;-0.0038204356;0.64616144;75.445755
diffHighPrice_0_3;-0.0037213766;0.6294073;76.075165
ratio_delta_vol_VA16P;-0.0037134404;0.628065;76.70323
diffPriceClose_VA21PPoc;0.0035267526;0.59648997;77.29972
bearish_ask_bid_ratio;-0.003486752;0.58972454;77.88944
bear_imbalance_low_2;-0.0034157387;0.57771385;78.467155
bullish_absorption_score;-0.0033009588;0.5583008;79.02546
bull_imbalance_low_2;-0.0032645366;0.5521406;79.5776
bullish_absorption_intensity_repeat_count;0.0032401835;0.5480217;80.12562
bullish_ask_bid_ratio;-0.0031460419;0.53209925;80.657715
bull_imbalance_low_1;-0.0031053706;0.5252204;81.18294
bear_imbalance_low_0;-0.0029982007;0.50709444;81.69003
diffHighPrice_0_1;0.0029922486;0.5060878;82.19612
range_strength_10_32;-0.0029595383;0.50055534;82.69668
ratioDeltaBlw;0.0029122971;0.49256533;83.18925
diffPriceClose_VA11PPoc;0.00287456;0.4861827;83.67543
atr;-0.0028561193;0.4830638;84.15849
bearish_ask_ratio;-0.0027927016;0.47233775;84.63083
bullish_bid_score;0.0027805355;0.47028008;85.10111
perct_VA16P;-0.0026107274;0.44155997;85.54267
bullish_abs_diff_blw;-0.0025840283;0.43704426;85.97971
diffPriceClose_VA16PvaL;-0.0024981021;0.4225113;86.40222
diffLowPrice_0_2;0.0024598984;0.41604978;86.81827
diffPriceClosePoc_0_3;0.0024513968;0.4146119;87.23288
bearish_dsc_dynamics;0.00242686;0.4104619;87.64334
bull_imbalance_high_2;-0.002408342;0.4073299;88.050674
