feature;importance;importance_percentage;cumulative_importance_percentage
bearish_repeatAskBid_ratio;-0.00031675506;10.100992;10.100992
diffLowPrice_0_1;-0.00031308536;9.983969;20.08496
deltaTimestampOpeningSection5min;-0.00018549354;5.915198;26.000158
diffPriceClosePoc_0_2;0.00017560969;5.600012;31.60017
deltaTimestampOpeningSection15min;0.00016570384;5.2841244;36.884293
bullish_absorption_score;-0.000118251446;3.7709165;40.65521
bullish_repeatAskBid_ratio;0.00010679793;3.4056761;44.060886
bearish_reversal_force;-8.516765e-05;2.7159085;46.776794
perctBB;-7.97045e-05;2.5416942;49.31849
perct_VA16P;-7.619342e-05;2.4297295;51.74822
bearish_volume_quality;-7.246691e-05;2.310895;54.059113
diffHighPrice_0_2;-5.9875536e-05;1.909369;55.968483
diffVolCandle_0_1Ratio;-5.5804372e-05;1.7795438;57.748028
bullish_ask_ratio;5.5594068e-05;1.7728375;59.520866
diffPriceClosePoc_0_3;5.5150682e-05;1.7586983;61.279564
bearish_activity_volume_score;5.4550484e-05;1.7395588;63.019123
bearish_extrem_revIntensity_ratio_extrem;4.9301645e-05;1.5721787;64.5913
pocDeltaPocVolRatio;4.411574e-05;1.4068054;65.99811
diffHighPrice_0_1;4.342911e-05;1.3849095;67.38302
diffLowPrice_0_2;4.1535455e-05;1.3245227;68.70754
diffPriceClosePoc_0_5;-4.1070758e-05;1.3097042;70.01725
bullish_market_momentum;4.0850973e-05;1.3026954;71.31995
bullish_absorption_intensity_repeat_count;4.03794e-05;1.2876574;72.607605
diffPriceClose_VA6PPoc;-3.2550022e-05;1.0379866;73.64559
perct_VA11P;-3.2148346e-05;1.0251775;74.67077
diffVolDelta_0_1Ratio;3.161913e-05;1.0083014;75.67907
perct_VA21P;-2.9200244e-05;0.93116564;76.61024
diffLowPrice_0_3;2.6820328e-05;0.85527253;77.46551
bearish_abs_diff_abv;2.6569372e-05;0.8472699;78.312775
diffPriceClose_VA16PPoc;-2.4287398e-05;0.7745001;79.08727
bearish_dsc_ask_bid_imbalance;-2.3435094e-05;0.74732095;79.834595
cumDiffVolDeltaRatio;-2.275103e-05;0.72550684;80.560104
diffPriceClosePoc_0_1;-2.2346205e-05;0.7125974;81.272705
bearish_extreme_volume_score;-2.1249642e-05;0.6776291;81.95033
vol_volatility_score;-1.9938212e-05;0.635809;82.58614
VolCandleMeanxRatio;-1.9550502e-05;0.62344533;83.20959
diffPriceClose_VA21PPoc;-1.9268975e-05;0.61446774;83.82406
diffLowPrice_0_4;-1.895689e-05;0.6045156;84.42857
bearish_market_context_score;-1.811098e-05;0.5775405;85.00611
bearish_dsc_ask_bid_delta_imbalance;-1.7979148e-05;0.5733365;85.579445
bearish_extrem_pressure_ratio_extrem;1.7859857e-05;0.5695324;86.14898
bullish_activity_volume_score;1.6748008e-05;0.5340767;86.68306
bull_imbalance_low_1;-1.6034028e-05;0.5113086;87.19437
bull_imbalance_high_2;-1.5959227e-05;0.5089233;87.70329
bearish_extrem_abs_ratio_extrem;-1.5261323e-05;0.4866678;88.189964
bearish_absorption_score;1.2881656e-05;0.41078272;88.600746
bull_imbalance_low_3;-1.2383845e-05;0.39490807;88.99565
bull_imbalance_high_1;-1.1808492e-05;0.3765606;89.372215
diffPriceClose_VA6PvaH;-1.1060445e-05;0.35270616;89.72492
deltaTimestampOpeningSection1min;-1.0561133e-05;0.33678365;90.06171
diffPriceClose_VA16PvaL;-9.633943e-06;0.3072165;90.36892
absorption_intensity_repeat_bearish_vol;-9.213627e-06;0.29381305;90.662735
