Interaction;Value
perctBB <-> diffPriceClosePoc_0_3;58.0290
perctBB <-> diffPriceClosePoc_0_2;37.8526
bearish_repeatAskBid_ratio <-> bearish_ask_score;37.3210
diffPriceCloseVWAP <-> bearish_repeatAskBid_ratio;34.9808
diffPriceCloseVWAP <-> deltaTimestampOpeningSection1min;32.0339
bearish_repeatAskBid_ratio <-> diffPriceClosePoc_0_2;29.7218
perctBB <-> diffHighPrice_0_3;25.7948
bull_imbalance_high_0 <-> bearish_dsc_ask_bid_delta_imbalance;24.3393
bearish_dsc_ask_bid_delta_imbalance <-> bearish_repeatAskBid_ratio;24.0409
perctBB <-> diffHighPrice_0_2;23.9754
bull_imbalance_high_0 <-> bearish_repeatAskBid_ratio;23.3908
deltaTimestampOpeningSection1min <-> bearish_repeatAskBid_ratio;20.8641
bearish_repeatAskBid_ratio <-> perctBB;20.7436
bearish_ask_score <-> diffPriceClosePoc_0_1;19.4620
pocDeltaPocVolRatio <-> bearish_repeatAskBid_ratio;19.1251
bearish_ask_score <-> bearish_dsc_ask_bid_delta_imbalance;18.6359
deltaTimestampOpeningSection1min <-> bearish_dsc_ask_bid_delta_imbalance;17.2118
diffHighPrice_0_3 <-> deltaTimestampOpeningSection1min;17.0526
bearish_repeatAskBid_ratio <-> diffHighPrice_0_3;16.7744
diffVolCandle_0_1Ratio <-> bear_imbalance_high_2;16.6325
ratioDeltaAbv <-> bearish_dsc_ask_bid_delta_imbalance;16.5550
diffHighPrice_0_2 <-> diffHighPrice_0_1;16.4241
bearish_dsc_ask_bid_delta_imbalance <-> diffVolCandle_0_1Ratio;16.0012
diffPriceCloseVWAP <-> bearish_dsc_ask_bid_delta_imbalance;15.9609
deltaTimestampOpeningSection1min <-> diffPriceClosePoc_0_2;14.7977
bear_imbalance_high_1 <-> bearish_repeatAskBid_ratio;14.7294
bearish_dsc_ask_bid_delta_imbalance <-> pocDeltaPocVolRatio;13.0646
perctBB <-> deltaTimestampOpeningSection1min;12.3590
diffHighPrice_0_1 <-> diffPriceClosePoc_0_1;12.1895
diffPriceClosePoc_0_3 <-> deltaTimestampOpeningSection1min;12.1431
diffPriceClosePoc_0_1 <-> bearish_repeatAskBid_ratio;11.9046
bull_imbalance_high_0 <-> diffPriceCloseVWAP;11.8984
ratioDeltaAbv <-> bearish_repeatAskBid_ratio;11.8376
bear_imbalance_high_3 <-> bull_imbalance_high_0;11.5787
diffPriceClosePoc_0_2 <-> diffPriceClosePoc_0_3;11.5345
bearish_repeatAskBid_ratio <-> diffPriceClosePoc_0_3;11.2435
bull_imbalance_high_2 <-> bearish_repeatAskBid_ratio;11.2187
diffHighPrice_0_2 <-> bearish_repeatAskBid_ratio;10.9501
diffPriceClosePoc_0_2 <-> diffPriceCloseVWAP;10.8581
diffPriceClosePoc_0_1 <-> candleSizeTicks;10.6236
