Correlation_Pair;Correlation_Value
diffHighPrice_0_1 <-> diffPriceClosePoc_0_1;0.9297
diffHighPrice_0_3 <-> diffPriceClosePoc_0_3;0.9246
candleSizeTicks <-> asymetrie_volume;-0.9000
candleSizeTicks <-> diffPriceClosePoc_0_1;0.8904
diffHighPrice_0_2 <-> diffHighPrice_0_1;0.8680
candleSizeTicks <-> diffHighPrice_0_1;0.8626
diffHighPrice_0_2 <-> diffPriceClosePoc_0_1;0.8280
asymetrie_volume <-> diffPriceClosePoc_0_1;-0.8039
asymetrie_volume <-> diffHighPrice_0_1;-0.7853
diffHighPrice_0_2 <-> diffPriceClosePoc_0_2;0.7673
candleSizeTicks <-> diffHighPrice_0_2;0.7534
