Correlation_Pair;Correlation_Value;Absolute_Correlation
perct_VA11P <-> diffPriceClose_VA11PvaH;0.8974;0.8974
perct_VA21P <-> diffPriceClose_VA16PvaH;0.8162;0.8162
bearish_bid_score <-> bearish_dsc_ask_bid_imbalance;0.8150;0.8150
bearish_absorption_intensity_repeat_count <-> bearish_ask_abs_ratio_abv;0.8128;0.8128
bullish_asc_ask_bid_delta_imbalance <-> bullish_ask_score;0.8101;0.8101
diffPriceClose_VA11PvaH <-> diffPriceClose_VA16PvaH;0.7925;0.7925
bearish_bid_score <-> bearish_imnbScore_score;0.7731;0.7731
bearish_imnbScore_score <-> bearish_dsc_ask_bid_imbalance;0.7682;0.7682
bullish_dsc_ask_bid_delta_imbalance <-> bullish_ask_ratio;0.7408;0.7408
bearish_asc_dynamics <-> bearish_dsc_ask_bid_imbalance;-0.7357;0.7357
bearish_asc_dynamics <-> bearish_ask_abs_ratio_abv;0.7276;0.7276
diffHighPrice_0_4 <-> perctBB;0.7187;0.7187
bullish_asc_ask_bid_delta_imbalance <-> bullish_ask_ratio;0.7154;0.7154
bullish_imnbScore_score <-> bullish_ask_score;0.7022;0.7022
bearish_dsc_ask_bid_delta_imbalance <-> bearish_bid_score;-0.6979;0.6979
diffPriceClose_VA11PvaH <-> perctBB;0.6914;0.6914
bearish_dsc_ask_bid_delta_imbalance <-> bearish_dsc_ask_bid_imbalance;-0.6718;0.6718
perct_VA11P <-> perctBB;0.6695;0.6695
perct_VA11P <-> diffPriceClose_VA16PvaH;0.6648;0.6648
perct_VA21P <-> diffPriceClose_VA11PvaH;0.6626;0.6626
diffHighPrice_0_4 <-> diffPriceClose_VA11PvaH;0.6559;0.6559
bearish_dsc_ask_bid_delta_imbalance <-> bearish_ask_abs_ratio_abv;0.6514;0.6514
bullish_ask_score <-> bullish_ask_ratio;0.6450;0.6450
bearish_ask_abs_ratio_abv <-> bearish_dsc_ask_bid_imbalance;-0.6347;0.6347
perct_VA11P <-> perct_VA21P;0.6133;0.6133
diffPriceClose_VA16PvaH <-> perctBB;0.6101;0.6101
diffPriceCloseVWAP <-> price_volume_dynamic;0.5974;0.5974
diffHighPrice_0_4 <-> diffPriceClose_VA16PvaH;0.5901;0.5901
perct_VA11P <-> diffHighPrice_0_4;0.5895;0.5895
bearish_absorption_intensity_repeat_count <-> bearish_asc_dynamics;0.5759;0.5759
bearish_asc_dynamics <-> bearish_imnbScore_score;-0.5746;0.5746
bearish_dsc_ask_bid_delta_imbalance <-> bearish_absorption_intensity_repeat_count;0.5732;0.5732
bearish_bid_score <-> bearish_ask_abs_ratio_abv;-0.5688;0.5688
perct_VA11P <-> perct_VA6P;0.5664;0.5664
perct_VA21P <-> perctBB;0.5588;0.5588
bearish_absorption_intensity_repeat_count <-> bearish_dsc_ask_bid_imbalance;-0.5445;0.5445
diffHighPrice_0_4 <-> perct_VA21P;0.5355;0.5355
bearish_absorption_intensity_repeat_count <-> bearish_repeatAskBid_ratio;0.5173;0.5173
bearish_asc_dynamics <-> bearish_bid_score;-0.5088;0.5088
perct_VA6P <-> perctBB;0.5069;0.5069
bearish_absorption_intensity_repeat_count <-> bearish_bid_score;-0.5055;0.5055
bearish_ask_abs_ratio_abv <-> imbalance_score_low;0.4948;0.4948
bullish_repeatAskBid_ratio <-> bullish_ask_ratio;0.4856;0.4856
bearish_dsc_ask_bid_delta_imbalance <-> bearish_imnbScore_score;-0.4839;0.4839
bearish_repeatAskBid_ratio <-> bullish_repeatAskBid_ratio;0.4836;0.4836
perct_VA6P <-> diffPriceClose_VA11PvaH;0.4717;0.4717
bullish_asc_ask_bid_delta_imbalance <-> bullish_imnbScore_score;0.4649;0.4649
bearish_imnbScore_score <-> bearish_ask_abs_ratio_abv;-0.4636;0.4636
bearish_absorption_intensity_repeat_count <-> bearish_imnbScore_score;-0.4618;0.4618
bearish_absorption_intensity_repeat_count <-> imbalance_score_low;0.4608;0.4608
diffHighPrice_0_4 <-> perct_VA6P;0.4393;0.4393
diffPriceClose_VA16PvaH <-> cumDiffVolDeltaRatio;0.4392;0.4392
bearish_ask_abs_ratio_abv <-> bear_imbalance_high_2;-0.4389;0.4389
bullish_dsc_ask_bid_delta_imbalance <-> bullish_repeatAskBid_ratio;0.4380;0.4380
imbalance_score_low <-> bearish_dsc_ask_bid_imbalance;-0.4339;0.4339
bearish_bid_score <-> imbalance_score_low;-0.4267;0.4267
perct_VA21P <-> cumDiffVolDeltaRatio;0.4100;0.4100
VolPocVolCandleRatio <-> bullish_ask_score;-0.4095;0.4095
bullish_ask_ratio <-> imbalance_score_low;0.4038;0.4038
bear_imbalance_high_3 <-> bearish_ask_abs_ratio_abv;-0.3996;0.3996
bearish_combined_pressure <-> price_volume_dynamic;-0.3980;0.3980
bearish_dsc_ask_bid_delta_imbalance <-> imbalance_score_low;0.3963;0.3963
bearish_asc_dynamics <-> imbalance_score_low;0.3951;0.3951
diffPriceClose_VA11PvaH <-> cumDiffVolDeltaRatio;0.3944;0.3944
bearish_dsc_ask_bid_delta_imbalance <-> bear_imbalance_high_3;-0.3933;0.3933
bullish_asc_ask_bid_delta_imbalance <-> imbalance_score_low;0.3920;0.3920
bearish_absorption_intensity_repeat_count <-> bear_imbalance_high_3;-0.3894;0.3894
bearish_absorption_intensity_repeat_count <-> bear_imbalance_high_2;-0.3839;0.3839
bullish_imnbScore_score <-> bullish_ask_ratio;0.3817;0.3817
bandWidthBB <-> poc_diff_ratio_6P_16P;0.3797;0.3797
cumDiffVolDeltaRatio <-> perctBB;0.3732;0.3732
vol_volatility_score <-> VolPocVolCandleRatio;-0.3724;0.3724
bear_imbalance_high_3 <-> bearish_bid_score;0.3714;0.3714
bearish_market_context_score <-> vol_volatility_score;-0.3557;0.3557
diffHighPrice_0_4 <-> cumDiffVolDeltaRatio;0.3518;0.3518
bearish_market_context_score <-> bearish_combined_pressure;0.3485;0.3485
bearish_imnbScore_score <-> imbalance_score_low;-0.3477;0.3477
range_strength_5_23 <-> bandWidthBB;-0.3369;0.3369
bearish_dsc_ask_bid_delta_imbalance <-> bear_imbalance_high_2;-0.3347;0.3347
bullish_imnbScore_score <-> VolPocVolCandleRatio;-0.3299;0.3299
VolPocVolCandleRatio <-> bearish_ask_abs_ratio_abv;-0.3292;0.3292
bullish_ask_score <-> imbalance_score_low;0.3252;0.3252
perct_VA6P <-> VolPocVolCandleRatio;-0.3241;0.3241
bearish_market_context_score <-> perctBB;-0.3232;0.3232
perct_VA6P <-> diffPriceClose_VA16PvaH;0.3213;0.3213
perct_VA11P <-> cumDiffVolDeltaRatio;0.3205;0.3205
bear_imbalance_high_3 <-> imbalance_score_low;-0.3164;0.3164
