true_label;predicted_label;prediction_probability;bearish_dsc_ask_bid_delta_imbalance;bearish_absorption_intensity_repeat_count;perct_VA11P;diffHighPrice_0_4;diffPriceCloseVWAP;perct_VA21P;bearish_market_context_score;naked_poc_dist_above;bullish_asc_ask_bid_delta_imbalance;range_strength_5_23;diffVolCandle_0_1Ratio;bull_imbalance_high_0;bearish_repeatAskBid_ratio;bullish_dsc_ask_bid_delta_imbalance;deltaTimestampOpeningSection5min;perct_VA6P;bearish_asc_dynamics;bullish_imnbScore_score;bullish_repeatAskBid_ratio;diffPriceClose_VA11PvaH;finished_auction_high;vol_volatility_score;VolPocVolCandleRatio;bearish_combined_pressure;bear_imbalance_high_3;diffPriceClose_VA16PvaH;bandWidthBB;bearish_bid_score;bearish_imnbScore_score;bullish_ask_score;cumDiffVolDeltaRatio;bullish_ask_ratio;bearish_ask_abs_ratio_abv;price_volume_dynamic;poc_diff_ratio_6P_16P;perctBB;bear_imbalance_high_2;imbalance_score_low;bearish_dsc_ask_bid_imbalance;is_error;error_type
1;0;0.5854735;-0.063063063063063;0.5949367088607594;0.6666666666666666;0.75;1.270499999999629;;-0.0983997587343423;;0.5;5.996645608542517;-0.3634840871021775;0.0285714285714285;0.9207207207207208;0.0238095238095238;135;0.8;0.7387387387387387;0.8571428571428572;0.7619047619047619;0.25;1;1.7521465582592326;0.644891122278057;-0.0808474362851849;0.3114754098360656;;2.6191;0.1117117117117117;0.063063063063063;0.6190476190476191;0.3694404591104734;0.6904761904761905;0.7873873873873873;0.0006418992058442;;0.7241;0.092063492063492;0.7623762376237624;0.1117117117117117;True;False Negative
0;0;0.59218055;-0.1622340425531915;0.4422442244224422;-0.25;-0.25;-1.3041999999995824;-0.6923076923076923;0.0413562259063551;-1.25;;1.999104945177892;-0.8111702127659575;0.0943396226415094;0.922872340425532;;225;;0.3324468085106383;;;-1.5;1;0.9148507969070876;0.6196808510638298;0.0878038984685325;0.3015873015873015;-1.75;2.5967;0.2952127659574468;0.1781914893617021;;-0.8590998043052838;;0.4654255319148936;-0.0003877975800713;0.0;-0.2083;2.8157894736842106;0.0614886731391585;0.2952127659574468;False;Correct
1;0;0.55863625;-0.1844484629294756;0.4551282051282051;0.3333333333333333;0.5;-0.7768999999998414;0.1666666666666666;-0.2406728638266436;-3.0;;;0.8878842676311031;0.2857142857142857;0.9547920433996384;;230;0.5;0.2151898734177215;;;-0.25;1;1.4032072305511445;0.5280289330922242;0.1678728100176019;0.3538461538461538;-0.75;1.4697;0.4050632911392405;0.3833634719710669;;-0.7180616740088106;;0.4828209764918625;-0.0003640716179865;0.0;0.6525;1.4464285714285714;0.0755555555555555;0.4520795660036166;True;False Negative
1;0;0.586308;-0.1551459293394777;0.5212264150943396;-0.5;0.25;-5.272500000000036;-0.2;-0.0982491029829823;-3.5;-0.0071428571428571;5.9973107737128135;0.4339419978517723;0.05;0.9185867895545314;0.0071428571428571;475;;0.4039938556067588;0.3535714285714285;0.9321428571428572;-1.0;1;2.4572106736817703;0.3082706766917293;0.2878585032830493;1.6261682242990654;-1.25;1.0596;0.2027649769585253;0.1827956989247312;0.0071428571428571;-0.7121057985757884;0.475;0.4608294930875576;-0.0041404778749543;0.0001120636521544;0.1779;1.2763157894736843;0.1797752808988764;0.2119815668202765;True;False Negative
1;0;0.58481723;-0.1460055096418732;0.5416666666666666;;0.5;-4.555199999999786;;-0.0605822120063081;-3.0;0.3904109589041096;0.9991597109405634;-0.2122137404580152;1.7878787878787878;0.9201101928374656;-0.0547945205479452;480;;0.4628099173553719;0.4417808219178082;0.9178082191780822;-0.5;0;2.830976490111431;0.2;0.1803042023997267;0.3387096774193548;-0.75;2.1787;0.1322314049586777;0.1900826446280991;0.3938356164383562;-1.0414642047295108;0.660958904109589;0.5922865013774105;-0.0023565191500533;0.0;0.182;1.7692307692307692;0.1260504201680672;0.2754820936639118;True;False Negative
1;0;0.578036;-0.121786197564276;0.491362763915547;-0.125;-0.75;-5.77980000000025;-0.1666666666666666;-0.0801495013977844;-1.0;-0.2051282051282051;;0.7810055865921788;0.2826086956521739;0.9215155615696888;-0.0705128205128205;525;;0.2746955345060893;0.5;0.9230769230769232;-1.25;0;3.989754785756564;0.306145251396648;0.1756578079093146;1.4631578947368422;-1.75;3.1572;0.2936400541271989;0.4167794316644113;0.0961538461538461;-0.9321595028482652;0.3333333333333333;0.516914749661705;-0.0039238735434045;0.0001121139077302;0.2242;0.6703296703296703;0.041860465116279;0.3640054127198917;True;False Negative
0;0;0.56429434;-0.0469483568075117;0.480225988700565;0.9090909090909092;2.5;-4.448199999999815;0.8333333333333334;-0.0247212418288528;-1.0;;;0.2018779342723004;1.1666666666666667;0.9154929577464788;;545;0.8333333333333334;0.1408450704225352;;;1.0;0;0.6971177686862922;0.4929577464788732;0.0149274271333668;0.2765957446808511;1.0;4.7939;0.2863849765258216;0.1690140845070422;;0.1055579491598449;;0.4929577464788732;-0.0006390262152868;0.0;0.7953;1.870967741935484;0.046979865771812;0.3990610328638497;False;Correct
1;0;0.5653902;0.0334448160535117;0.5930735930735931;1.0;0.75;-3.910200000000259;1.0;0.01884011652517;-1.0;;;0.2809364548494983;0.12;0.9498327759197324;;545;0.2222222222222222;0.2675585284280936;;;1.25;1;0.8773504182883658;0.3745819397993311;-0.0184352014543933;0.6901408450704225;1.75;5.6719;0.2240802675585284;0.0468227424749163;;0.485353245261344;;0.6120401337792643;-0.000788548884707;0.0005606638259699;0.6061;0.7454545454545455;0.1666666666666666;0.3110367892976589;True;False Negative
1;0;0.5905664;-0.0950819672131147;0.5059760956175299;-0.1111111111111111;0.0;-4.582999999999629;0.6666666666666666;-0.0306101420343816;-1.25;0.0;2.9976460038112323;0.3973941368078176;2.2142857142857144;0.9442622950819672;-1.0;550;0.9;0.340983606557377;0.0;0.5;-1.25;0;1.1157201801049028;0.4462540716612377;0.0470759883065485;1.467741935483871;-1.75;2.7842;0.2655737704918032;0.2655737704918032;0.0;-0.2578849721706864;0.0;0.5114754098360655;-0.0009664455647569;0.0006167474979675;0.329;1.7222222222222223;0.0746268656716417;0.2655737704918032;True;False Negative
1;0;0.57193124;-0.0291479820627802;0.5254237288135594;0.5;0.5;-3.936999999999898;;-0.0608623614512699;-1.5;0.1582914572864321;0.9993275050437124;0.6315165876777251;0.6265060240963856;0.9551569506726456;-0.1130653266331658;555;0.8571428571428571;0.2869955156950672;0.1959798994974874;0.9597989949748744;0.0;0;2.6089601744698183;0.1658767772511848;0.040659286583757;0.76;-1.25;2.4375;0.0941704035874439;0.1053811659192825;0.2261306532663316;0.4326241134751773;0.5175879396984925;0.5538116591928252;-0.0022607207428595;0.0003363605785401;0.7865;0.8771929824561403;-0.0210526315789473;0.2959641255605381;True;False Negative
0;0;0.5806851;-0.4483985765124555;0.2857142857142857;-0.2142857142857142;-0.75;-8.378899999999703;-0.8421052631578947;0.1116581176193571;-1.75;;;0.597864768683274;0.5714285714285714;0.9644128113879004;;565;-0.4285714285714285;0.0355871886120996;;;-2.5;0;0.8086698841077077;0.3309608540925267;0.1174606749625049;7.2;-3.25;3.1426;0.3345195729537366;0.2348754448398576;;-0.7093305584460631;;0.2918149466192171;-0.0016454660958403;0.0;-0.2716;1.054054054054054;-0.40625;0.7046263345195729;False;Correct
0;0;0.58743113;0.032051282051282;0.5118110236220472;-0.3333333333333333;0.25;-8.025400000000445;-0.1052631578947368;0.0183981721745614;-1.5;;3.9988779174147218;0.1698717948717948;0.1296296296296296;0.9198717948717948;;570;-0.5;0.1025641025641025;;;-1.25;1;0.5408460279578969;0.3974358974358974;-0.0160826427556566;0.6808510638297872;-2.25;1.2109;0.3365384615384615;0.2884615384615385;;-0.0699677072120559;;0.5224358974358975;-0.0017026362114728;5.610885117127227e-05;0.5855;0.8857142857142857;0.1090047393364928;0.3878205128205128;False;Correct
0;0;0.56721044;0.0401529636711281;0.5606796116504854;;0.25;-7.620600000000195;-0.0909090909090909;0.050104439570383;-1.25;0.0;7.996858345021038;0.0285714285714285;2.392857142857143;0.9388145315487572;-0.5;570;-0.3333333333333333;0.3804971319311663;0.5;0.0;-0.25;0;0.9707492809500716;0.4685714285714286;-0.0371397907460174;0.4864864864864865;-1.0;0.7979;-0.0152963671128107;0.1395793499043977;0.0;0.4746136865342163;0.0;0.5965583173996176;-0.0027205963857969;0.0;0.7564;1.7818181818181815;0.4415094339622641;0.1759082217973231;False;Correct
0;0;0.53451765;-0.2272727272727272;0.5319693094629157;1.3333333333333333;3.25;-4.171400000000176;1.3333333333333333;-0.991425006963892;-2.0;0.1510791366906475;;0.8237113402061855;0.2571428571428571;0.9436363636363636;-0.016546762589928;580;1.0714285714285714;0.3418181818181818;0.3971223021582734;0.943884892086331;2.0;1;8.062185149485368;0.1721649484536082;0.7269040269894589;0.291970802919708;3.0;3.2207;0.3909090909090909;0.2418181818181818;0.2805755395683453;0.4125219426565242;0.556115107913669;0.5054545454545455;-0.0054484601058291;0.0;1.1841;4.282608695652174;0.2751091703056768;0.3909090909090909;False;Correct
0;0;0.56889266;0.0195627157652474;0.5958549222797928;0.4545454545454545;2.75;-1.2953999999999724;0.3846153846153846;0.0914640368953302;-3.5;0.2985702270815811;;0.942211055276382;0.0952380952380952;0.953970080552359;-0.0117746005046257;590;0.7142857142857143;0.3233601841196778;0.4356602186711522;0.9394449116904964;-0.25;1;7.273391590366278;0.1715257531584062;-0.0721462756098266;0.6424242424242425;-0.75;6.5088;0.189873417721519;0.334867663981588;0.351555929352397;-0.0103376981392143;0.6324642556770396;0.6133486766398158;-0.0017566071022292;0.0;0.7554;0.8430493273542601;0.2179487179487179;0.2704257767548906;False;Correct
1;0;0.5760391;0.0;0.5914285714285714;;1.75;-5.914999999999964;;0.0;-1.0;0.2089761570827489;;0.6001669449081803;0.0365853658536585;0.9608247422680412;0.0392706872370266;630;0.4545454545454545;0.4371134020618556;0.4123422159887798;0.9312762973352032;-1.75;1;3.93006603686468;0.2061769616026711;;2.0408163265306123;-1.5;4.7607;0.1298969072164948;0.0082474226804123;0.214586255259467;-1.183310533515732;0.6115007012622721;0.5670103092783505;-0.0046152999966789;0.0002805599977555;0.385;0.3684210526315789;0.9473684210526316;0.1298969072164948;True;False Negative
0;0;0.5674039;-0.1581508515815085;0.4548192771084337;1.125;1.75;-5.289600000000064;0.75;-0.170372521047468;-4.25;0.0;;0.7898550724637681;1.0136986301369864;0.9416058394160584;0.5;645;0.7;0.1849148418491484;0.0;0.6666666666666666;0.75;0;0.8876114046011476;0.3623188405797101;0.0823909695501869;0.6140350877192983;1.25;3.0342;0.2627737226277372;0.4355231143552311;0.0;-0.1828410689170183;1.0;0.4793187347931874;-0.0013606423422054;0.0001122523432676;0.9405;1.5;0.2783505154639175;0.4525547445255474;False;Correct
0;0;0.5782612;0.106145251396648;0.6266968325791855;1.7272727272727273;3.25;-2.7358000000003813;1.4615384615384617;0.4075817419030304;-1.75;0.3414012738853503;;0.789712556732224;0.131578947368421;0.9162011173184358;-0.019108280254777;650;0.6428571428571429;0.2849162011173184;0.3656050955414012;0.9452229299363056;2.5;1;3.93497120403542;0.1588502269288956;-0.2503235855230658;0.453781512605042;3.0;5.084;0.1955307262569832;0.2197392923649906;0.3401273885350318;0.084533500313087;0.6522292993630573;0.6573556797020484;-0.0022924631695453;0.0005611357387352;1.0204;0.65;0.036036036036036;0.2662942271880819;False;Correct
0;0;0.5626813;-0.0796747967479674;0.5442764578833693;0.8;2.0;-0.6410999999998239;1.35;-0.161139961169983;-1.0;0.1615384615384615;;0.6953020134228188;0.3766233766233766;0.8991869918699187;-0.0153846153846153;665;0.8888888888888888;0.448780487804878;0.2846153846153846;0.9230769230769232;0.75;1;2.026609180147162;0.4308724832214765;0.0879774172826381;0.2512820512820513;0.0;3.4893;0.1593495934959349;0.1414634146341463;0.0692307692307692;0.5217391304347826;0.5538461538461539;0.5902439024390244;-0.0002935026533636;0.0;0.9969;1.105263157894737;-0.2954545454545454;0.2211382113821138;False;Correct
0;0;0.5774834;-0.0114155251141552;0.6378205128205128;1.0;1.5;-0.1391999999996187;1.380952380952381;-0.0109915853139435;-1.25;;;0.317351598173516;0.1428571428571428;0.9474885844748858;;670;0.8333333333333334;0.5981735159817352;;;1.25;1;1.1482607096683746;0.4520547945205479;0.0089960972432309;0.3851851851851852;0.5;4.624;0.0867579908675799;0.0616438356164383;;0.688676426650732;;0.6872146118721462;-3.840133554519941e-05;0.0;0.7793;0.5833333333333334;0.3575418994413408;0.1004566210045662;False;Correct
0;0;0.5586697;-0.4655172413793103;0.2950819672131147;0.8666666666666667;0.75;0.602100000000064;0.6842105263157895;-0.118061799173992;-3.0;;0.9996078651055964;-1.0747126436781609;0.2948717948717949;0.8908045977011494;;675;0.2;0.0459770114942528;;;0.75;1;0.3151465433734548;0.6091954022988506;-0.0644192084929387;;1.25;3.3115;0.7068965517241379;0.6264367816091954;;1.2395543175487465;;0.2873563218390804;6.391937090076119e-05;0.000672608037666;0.5408;1.25;-0.2328767123287671;0.7068965517241379;False;Correct
0;0;0.581732;-0.0755813953488372;0.518796992481203;0.6;0.25;0.8437999999996464;0.7;-0.0775310977574037;-2.75;-0.1298076923076923;;0.7527624309392266;0.2641509433962264;0.9321705426356588;-0.0144230769230769;680;0.6;0.5174418604651163;0.4615384615384615;0.908653846153846;0.25;1;1.3230433859019746;0.3922651933701657;-0.0746943367508026;3.5277777777777777;-0.75;1.585;0.0930232558139534;0.0949612403100775;0.1538461538461538;-0.1316526610644257;0.3990384615384615;0.5542635658914729;0.0003665853517522;0.0;0.5385;0.5542168674698795;0.2352941176470588;0.1124031007751938;False;Correct
1;0;0.56824803;-0.0011737089201877;0.4921875;-0.1111111111111111;1.25;2.0132000000003245;0.4375;-0.0018836014418383;-1.5;0.0;0.999328032254452;-0.4783625730994152;0.449438202247191;0.9284037558685446;-0.3333333333333333;700;-0.1428571428571428;0.1619718309859155;0.6666666666666666;0.0;-1.0;0;2.324354211814017;0.5157894736842106;-0.0012988023040835;0.2772727272727273;0.25;3.6475;0.1607981220657277;0.4284037558685445;0.0;0.4411764705882353;0.0;0.5492957746478874;0.0010324515538912;0.0004481541650327;0.7138;1.4258064516129032;0.621301775147929;0.3884976525821596;True;False Negative
0;0;0.56390655;-0.3549382716049383;0.3317757009345794;-0.4545454545454545;-3.0;-10.167000000000373;-0.9166666666666666;0.1359222453924923;-4.0;;;0.0277777777777777;0.1052631578947368;0.9598765432098766;;855;-0.5;0.015432098765432;;;-2.5;0;1.0223833006581156;0.6851851851851852;0.0859456798888813;;-4.0;4.2881;0.1944444444444444;0.2808641975308642;;-0.5829699334404407;;0.2993827160493827;-0.0016664632629276;0.0003369650679546;-0.5247;0.5285714285714286;0.12;0.6388888888888888;False;Correct
1;1;0.62656355;0.09072375127421;0.5670650730411687;;0.0;0.4760999999998603;;-0.0672948658502841;;0.4375;0.9992710144114842;0.0207657365347177;2.0365853658536586;0.9296636085626911;-0.0196428571428571;90;;0.3863404689092762;0.6160714285714286;0.9125;;1;6.475504957484696;0.2621674237508111;0.2877870891303697;1.1325301204819278;;2.0479;0.1559633027522936;0.2793068297655454;0.5357142857142857;-0.3908355795148248;0.6892857142857143;0.6350662589194699;0.000625036598413;;-0.1326;1.16;0.391304347826087;0.1580020387359837;False;Correct
0;0;0.5629545;-0.2165242165242165;0.5416666666666666;0.5;1.5;0.0063000000000101;1.0;-0.4659140678550987;-1.0;0.2904290429042904;;0.8623853211009175;0.5526315789473685;0.9316239316239316;-0.0462046204620462;215;1.0;0.5299145299145299;0.4818481848184818;0.933993399339934;0.0;1;2.118297385504456;0.2415902140672783;-0.2543028215318203;0.8823529411764706;1.25;3.2119;0.3190883190883191;0.2962962962962963;0.3663366336633663;-0.2945677123182861;0.6072607260726073;0.6324786324786325;3.3080075067309207e-06;0.0001684305083794;0.9924;1.2432432432432432;0.1042944785276073;0.3190883190883191;False;Correct
0;0;0.56992334;-0.0124031007751937;0.516728624535316;0.6923076923076923;1.75;0.5;1.1;-0.0305919024794366;-2.0;0.7246376811594203;;0.2515964240102171;0.6666666666666666;0.931782945736434;0.0507246376811594;230;0.25;0.1488372093023255;0.7246376811594203;0.9710144927536232;0.75;0;3.1370836438228213;0.3077905491698595;-0.0181468392723198;1.2105263157894737;0.25;3.5156;0.3643410852713178;0.413953488372093;0.7592592592592593;-0.0686274509803921;0.8840579710144928;0.5658914728682171;0.0003328264953492;0.0002244920866539;0.8711;0.6396396396396397;0.76;0.4294573643410853;False;Correct
0;0;0.5634576;-0.1169811320754717;0.458128078817734;0.4444444444444444;1.25;1.9765999999999624;0.7777777777777778;-0.2427750881253859;;0.6592592592592592;;0.4785046728971963;0.2105263157894736;0.9283018867924528;0.1666666666666666;435;1.375;0.3396226415094339;0.674074074074074;0.9481481481481482;0.0;1;2.5117036293335624;0.2242990654205607;-0.12202093769357;0.5641025641025641;-0.75;2.5605;0.3094339622641509;0.2075471698113207;0.7407407407407407;0.1719092904169714;0.9074074074074074;0.5320754716981132;0.0009660497259792;0.0006732117812061;0.9115;1.3548387096774193;0.5223880597014925;0.3094339622641509;False;Correct
0;0;0.5534678;-0.6567164179104478;0.2068965517241379;1.2352941176470589;2.5;4.153800000000047;1.4;-0.1198656709440023;;;;-4.2388059701492535;0.05;0.9253731343283582;;460;0.4;0.1641791044776119;;;1.5;1;0.3376723946832217;0.5223880597014925;-0.0353626037193986;;2.25;7.9316;0.7313432835820896;0.6567164179104478;;1.047945205479452;;0.2388059701492537;0.0002379927268476;0.0005608210420054;0.7013;1.0666666666666669;-0.3333333333333333;0.7313432835820896;False;Correct
1;0;0.54095453;-0.1155778894472361;0.5326876513317191;1.4444444444444444;3.5;9.322799999999916;1.4444444444444444;-0.5606694787940769;;0.4204851752021563;;0.9081404032860344;0.5925925925925926;0.897822445561139;-0.0121293800539083;545;0.9285714285714286;0.4070351758793969;0.6145552560646901;0.967654986522911;2.25;1;5.440159449854949;0.1807318894697535;-0.2562520015720256;1.3103448275862069;2.25;4.165;0.2579564489112227;0.3417085427135678;0.4555256064690027;-0.4903995848469123;0.6994609164420486;0.5996649916247906;0.0084303078817266;0.0;1.1655;0.625;0.7551020408163265;0.3082077051926298;True;False Negative
0;0;0.5853191;-0.1138211382113821;0.4077669902912621;-0.2666666666666666;-4.25;4.736799999999676;-0.4444444444444444;0.0148595337250507;-3.5;;;-0.5365853658536586;0.1428571428571428;0.8943089430894309;;550;-1.0625;0.008130081300813;;;-2.75;1;0.6633124702147252;0.5121951219512195;-0.0181958779104968;0.6896551724137931;-2.25;4.4395;0.4227642276422764;0.3170731707317073;;0.0506912442396313;;0.4390243902439024;0.0004006570594273;0.0007276187277866;-0.333;2.0;-0.08;0.5447154471544715;False;Correct
1;0;0.58338976;-0.1237785016286645;0.4514767932489451;0.0588235294117647;1.0;4.806599999999889;0.0909090909090909;-0.0955901637025346;-3.25;;;0.3061889250814332;0.2272727272727272;0.9087947882736156;;560;1.25;0.3778501628664495;;;-2.75;1;0.630362982110564;0.4039087947882736;-0.0537778698748436;1.0;-1.75;1.6865;0.1954397394136807;0.1368078175895765;;-0.1174785100286533;;0.4495114006514658;0.0010024891058643;0.0002240394309398;0.8025;1.323076923076923;-0.092511013215859;0.1954397394136807;True;False Negative
