Correlation_Pair;Correlation_Value;Absolute_Correlation
deltaTimestampOpeningSection1min <-> deltaTimestampOpeningSection5min;0.9999;0.9999
deltaTimestampOpeningSection1min <-> deltaTimestampOpeningSection30min;0.9995;0.9995
diffPriceClose_VA21PPoc <-> diffPriceClose_VA21PvaL;0.9187;0.9187
overlap_ratio_VA_6P_16P <-> poc_diff_ratio_6P_16P;-0.6620;0.6620
overlap_ratio_VA_6P_21P <-> poc_diff_ratio_6P_21P;-0.6571;0.6571
overlap_ratio_VA_6P_21P <-> poc_diff_ratio_6P_16P;-0.4777;0.4777
overlap_ratio_VA_6P_21P <-> overlap_ratio_VA_11P_21P;0.4631;0.4631
overlap_ratio_VA_6P_21P <-> poc_diff_ratio_11P_21P;-0.4376;0.4376
diffPriceClosePoc_0_0 <-> pocDeltaPocVolRatio;-0.2992;0.2992
overlap_ratio_VA_6P_21P <-> poc_diff_6P_21P;-0.2751;0.2751
overlap_ratio_VA_6P_21P <-> poc_diff_ratio_6P_11P;-0.2498;0.2498
diffPriceClosePoc_0_0 <-> asymetrie_volume;-0.2359;0.2359
diffPriceClosePoc_0_0 <-> VolAbv_vol_ratio;-0.2358;0.2358
diffPriceClosePoc_0_0 <-> VolBlw_vol_ratio;0.2357;0.2357
diffPriceClosePoc_0_0 <-> bullish_reversal_force;0.2354;0.2354
overlap_ratio_VA_6P_21P <-> poc_diff_6P_16P;-0.2301;0.2301
diffPriceClosePoc_0_0 <-> bull_imbalance_high_1;-0.2286;0.2286
diffPriceClosePoc_0_0 <-> bearish_reversal_force;-0.2257;0.2257
diffPriceClosePoc_0_0 <-> bearish_ask_score;0.2191;0.2191
overlap_ratio_VA_6P_21P <-> poc_diff_11P_21P;-0.2111;0.2111
overlap_ratio_VA_6P_21P <-> market_regimeADX;-0.2035;0.2035
overlap_ratio_VA_6P_11P <-> is_in_range_10_32;0.1891;0.1891
overlap_ratio_VA_6P_21P <-> is_in_range_10_32;0.1816;0.1816
diffPriceClosePoc_0_0 <-> bearish_imnbScore_score;-0.1706;0.1706
overlap_ratio_VA_6P_21P <-> poc_diff_6P_11P;-0.1647;0.1647
overlap_ratio_VA_6P_21P <-> range_strength_10_32;0.1642;0.1642
diffPriceClosePoc_0_0 <-> VolPocVolCandleRatio;-0.1433;0.1433
overlap_ratio_VA_6P_21P <-> VolAbv_vol_ratio;-0.1301;0.1301
overlap_ratio_VA_6P_21P <-> asymetrie_volume;-0.1298;0.1298
overlap_ratio_VA_6P_11P <-> asymetrie_volume;-0.1296;0.1296
overlap_ratio_VA_6P_11P <-> VolAbv_vol_ratio;-0.1295;0.1295
diffPriceClosePoc_0_0 <-> bull_imbalance_high_2;-0.1294;0.1294
overlap_ratio_VA_6P_11P <-> VolBlw_vol_ratio;0.1290;0.1290
overlap_ratio_VA_6P_11P <-> bullish_reversal_force;0.1289;0.1289
overlap_ratio_VA_6P_21P <-> VolBlw_vol_ratio;0.1286;0.1286
overlap_ratio_VA_6P_21P <-> bearish_reversal_force;-0.1284;0.1284
overlap_ratio_VA_6P_21P <-> bullish_reversal_force;0.1284;0.1284
overlap_ratio_VA_6P_11P <-> bearish_reversal_force;-0.1275;0.1275
deltaTimestampOpeningSection1min <-> bearish_bid_abs_ratio_abv;0.1270;0.1270
deltaTimestampOpeningSection5min <-> bearish_bid_abs_ratio_abv;0.1270;0.1270
diffPriceClose_VA21PPoc <-> bearish_ask_abs_ratio_abv;0.1225;0.1225
ratio_delta_vol_VA21P <-> bearish_extrem_revIntensity_ratio_extrem;0.1214;0.1214
diffPriceClosePoc_0_0 <-> bullish_bid_score;-0.1193;0.1193
deltaTimestampOpeningSection1min <-> bear_imbalance_high_1;0.0894;0.0894
deltaTimestampOpeningSection5min <-> bear_imbalance_high_1;0.0893;0.0893
deltaTimestampOpeningSection1min <-> bearish_abs_diff_abv;-0.0888;0.0888
deltaTimestampOpeningSection5min <-> bearish_abs_diff_abv;-0.0888;0.0888
diffPriceClosePoc_0_0 <-> VolCandleMeanxRatio;0.0883;0.0883
deltaTimestampOpeningSection5min <-> bullish_bid_abs_ratio_blw;0.0831;0.0831
diffPriceClosePoc_0_0 <-> bull_imbalance_low_1;0.0830;0.0830
deltaTimestampOpeningSection1min <-> bullish_bid_abs_ratio_blw;0.0828;0.0828
deltaTimestampOpeningSection5min <-> bearish_extrem_revIntensity_ratio_extrem;-0.0794;0.0794
deltaTimestampOpeningSection1min <-> imbalance_score_high;0.0756;0.0756
deltaTimestampOpeningSection5min <-> imbalance_score_high;0.0755;0.0755
deltaTimestampOpeningSection1min <-> bearish_bid_ratio;0.0726;0.0726
deltaTimestampOpeningSection5min <-> bearish_bid_ratio;0.0726;0.0726
diffPriceClosePoc_0_0 <-> bullish_ask_bid_ratio;0.0692;0.0692
diffPriceClosePoc_0_0 <-> bull_imbalance_high_0;-0.0650;0.0650
deltaTimestampOpeningSection1min <-> bull_imbalance_high_0;-0.0585;0.0585
deltaTimestampOpeningSection5min <-> bull_imbalance_high_0;-0.0585;0.0585
deltaTimestampOpeningSection5min <-> finished_auction_high;-0.0550;0.0550
diffPriceClosePoc_0_0 <-> diffVolCandle_0_1Ratio;0.0519;0.0519
diffPriceClosePoc_0_0 <-> ratioDeltaBlw;-0.0510;0.0510
diffPriceClosePoc_0_0 <-> bullish_bid_ratio;0.0493;0.0493
deltaTimestampOpeningSection1min <-> bearish_ask_ratio;-0.0469;0.0469
diffPriceClosePoc_0_0 <-> bullish_ask_score;-0.0448;0.0448
deltaTimestampOpeningSection1min <-> bullish_imnbScore_score;-0.0447;0.0447
diffPriceClosePoc_0_0 <-> bullish_imnbScore_score;0.0420;0.0420
diffPriceClosePoc_0_0 <-> bullish_ask_ratio;-0.0412;0.0412
diffPriceClosePoc_0_0 <-> range_strength_10_32;-0.0396;0.0396
diffPriceClosePoc_0_0 <-> cumDiffVolDeltaRatio;-0.0394;0.0394
diffPriceClosePoc_0_0 <-> ratio_delta_vol_VA16P;-0.0379;0.0379
deltaTimestampOpeningSection1min <-> bearish_ask_score;0.0370;0.0370
diffPriceClosePoc_0_0 <-> ratio_delta_vol_VA21P;-0.0364;0.0364
diffPriceClosePoc_0_0 <-> bearish_bid_score;-0.0363;0.0363
diffPriceClosePoc_0_0 <-> perct_VA21P;0.0332;0.0332
diffPriceClosePoc_0_0 <-> bearish_ask_ratio;0.0303;0.0303
diffPriceClosePoc_0_0 <-> range_strength_5_23;-0.0297;0.0297
diffPriceClosePoc_0_0 <-> poc_diff_6P_21P;-0.0256;0.0256
diffPriceClosePoc_0_0 <-> bull_imbalance_low_3;0.0250;0.0250
