Interaction;Value;Percentage_Contribution
bullish_imnbScore_score <-> bullish_asc_dsc_ratio;84.2957;0.6460
diffPriceCloseVWAP <-> bearish_asc_ask_bid_delta_imbalance;79.2090;0.6070
bearish_extrem_revIntensity_ratio_extrem <-> bearish_extrem_dsc_ratio_extrem;77.6427;0.5950
overlap_ratio_VA_11P_21P <-> bearish_extrem_abs_ratio_extrem;77.1798;0.5914
bearish_absorption_intensity_repeat_count <-> bearish_dsc_ask_bid_imbalance;73.6230;0.5642
bull_imbalance_low_2 <-> bearish_extrem_abs_ratio_extrem;72.1547;0.5529
bearish_dsc_ask_bid_delta_imbalance <-> bull_imbalance_low_3;70.0490;0.5368
vol_volatility_score <-> bearish_extrem_pressure_ratio_extrem;67.8229;0.5197
perct_VA21P <-> poc_diff_11P_21P;67.0041;0.5134
bullish_combined_pressure <-> bearish_extrem_revIntensity_ratio_extrem;66.5974;0.5103
bullish_abs_diff_blw <-> bearish_combined_pressure;65.4487;0.5015
bullish_bid_abs_ratio_blw <-> bull_imbalance_low_3;64.5540;0.4947
bullish_imnbScore_score <-> deltaTimestampOpeningSection1min;63.6922;0.4881
ratio_delta_vol_VA21P <-> bear_imbalance_low_0;63.0796;0.4834
perct_VA11P <-> overlap_ratio_VA_6P_21P;62.5686;0.4795
bullish_imnbScore_score <-> poc_diff_ratio_6P_16P;62.2855;0.4773
extrem_ask_bid_imbalance_bearish_extrem <-> bearish_market_context_score;62.1948;0.4766
bullish_dsc_dynamics <-> bearish_extrem_zone_volume_ratio_extrem;60.0303;0.4600
bull_imbalance_low_3 <-> diffVolDelta_0_1Ratio;59.9981;0.4598
bull_imbalance_low_3 <-> overlap_ratio_VA_11P_21P;59.9564;0.4594
bearish_extrem_abs_ratio_extrem <-> diffPriceCloseVWAPbyIndex;58.9019;0.4514
price_volume_dynamic <-> ratio_delta_vol_VA16P;56.4659;0.4327
bearish_market_context_score <-> bearish_asc_dynamics;56.3996;0.4322
bear_imbalance_high_3 <-> bear_imbalance_low_0;56.1965;0.4306
VolCandleMeanxRatio <-> bearish_ask_score;56.0980;0.4299
ratioDeltaBlw <-> ratio_delta_vol_VA21P;55.1890;0.4229
diffPriceCloseVWAP <-> bearish_extrem_revIntensity_ratio_extrem;55.1521;0.4226
diffPriceClose_VA11PvaL <-> diffPriceClose_VA16PPoc;54.6071;0.4184
