feature;importance;importance_percentage;cumulative_importance_percentage
bearish_extrem_revIntensity_ratio_extrem;-0.010032028;3.8812625;3.8812625
bearish_extrem_abs_ratio_extrem;-0.009752378;3.7730699;7.654332
naked_poc_dist_above;-0.0075512864;2.9214957;10.575828
bear_imbalance_low_0;0.007003613;2.7096078;13.285436
price_volume_dynamic;0.0060887234;2.3556488;15.641085
bearish_dsc_ask_bid_delta_imbalance;0.0060394923;2.336602;17.977686
bearish_market_context_score;-0.0059105624;2.2867208;20.264406
bearish_absorption_intensity_repeat_count;0.005707545;2.208176;22.472582
bearish_combined_pressure;0.0056898473;2.2013288;24.67391
perct_VA16P;-0.005631434;2.1787293;26.85264
diffPriceCloseVWAP;-0.0053798216;2.0813837;28.934025
vol_volatility_score;-0.005350997;2.0702322;31.004257
overlap_ratio_VA_11P_21P;-0.0051132343;1.9782447;32.982502
perct_VA11P;-0.0048751184;1.8861207;34.86862
perctBB;0.0047308872;1.8303195;36.69894
bullish_asc_ask_bid_delta_imbalance;-0.0044696634;1.7292553;38.428196
ratio_delta_vol_VA21P;-0.0040942524;1.5840136;40.01221
bearish_absorption_score;-0.004042422;1.563961;41.57617
diffPriceClose_VA16PPoc;-0.003928463;1.5198718;43.096043
bullish_dsc_dynamics;0.0036828734;1.4248564;44.5209
bull_imbalance_high_0;-0.003671182;1.4203331;45.941235
bearish_repeatAskBid_ratio;-0.0036605622;1.4162245;47.35746
bear_imbalance_high_3;0.0035723846;1.3821098;48.73957
pocDeltaPocVolRatio;-0.0035074765;1.3569976;50.09657
diffLowPrice_0_2;-0.0034717757;1.3431853;51.439754
bearish_repeat_ticks_ratio_extrem;0.003420135;1.3232063;52.762962
diffVolDelta_0_1Ratio;-0.003354811;1.2979333;54.060894
bullish_repeatAskBid_ratio;-0.0031783546;1.2296644;55.290558
bearish_ask_score;-0.0031753606;1.2285062;56.519066
perct_VA21P;0.0030989181;1.1989316;57.718
poc_diff_6P_21P;-0.0030942415;1.1971222;58.91512
range_strength_5_23;0.0028947631;1.1199467;60.035065
bullish_dsc_ask_bid_delta_imbalance;-0.0028735343;1.1117336;61.146797
bull_imbalance_low_1;-0.0028398773;1.098712;62.24551
bull_imbalance_high_2;0.0028268923;1.0936884;63.3392
bearish_extrem_dsc_ratio_extrem;0.002555642;0.98874503;64.32794
bearish_asc_dsc_ratio;0.002523131;0.97616696;65.30411
finished_auction_high;-0.0024195379;0.9360881;66.2402
range_strength_10_32;-0.0023973319;0.9274969;67.167694
bearish_extrem_pressure_ratio_extrem;0.0023326976;0.9024907;68.07018
bearish_dsc_dynamics;-0.0023208754;0.89791685;68.9681
cumDiffVolDeltaRatio;-0.002214151;0.8566266;69.82473
