Interaction;Value
diffVolDelta_0_1Ratio <-> diffLowPrice_0_1;13.8669
bearish_repeatAskBid_ratio <-> diffPriceCloseVWAP;11.3449
diffLowPrice_0_1 <-> diffHighPrice_0_2;10.5227
diffPriceClosePoc_0_3 <-> perctBB;9.8982
bull_imbalance_high_0 <-> bearish_market_context_score;8.4619
diffPriceClose_VA16PvaH <-> bullish_market_momentum;8.2249
diffVolCandle_0_1Ratio <-> diffLowPrice_0_1;8.0126
bearish_extrem_abs_ratio_extrem <-> bearish_market_context_score;7.6974
bearish_market_context_score <-> bearish_repeatAskBid_ratio;7.3246
bearish_repeatAskBid_ratio <-> diffPriceClosePoc_0_2;6.9327
deltaTimestampOpeningSection1min <-> bullish_absorption_score;6.8808
bearish_repeatAskBid_ratio <-> diffLowPrice_0_2;5.7474
diffPriceClose_VA21PvaH <-> diffLowPrice_0_3;5.6840
bearish_volume_quality <-> bearish_extrem_revIntensity_ratio_extrem;5.6073
diffPriceClosePoc_0_3 <-> bearish_market_context_score;4.7423
bearish_dsc_ask_bid_delta_imbalance <-> bearish_volume_quality;4.6500
diffLowPrice_0_2 <-> diffLowPrice_0_1;4.5594
bearish_market_momentum <-> bullish_bid_abs_ratio_blw;4.4767
bull_imbalance_high_0 <-> bearish_dsc_ask_bid_delta_imbalance;4.4345
diffPriceCloseVWAP <-> diffLowPrice_0_1;4.3785
bearish_extrem_zone_volume_ratio_extrem <-> bearish_extrem_abs_ratio_extrem;4.2855
bearish_extrem_abs_ratio_extrem <-> bearish_volume_quality;4.2283
bearish_repeatAskBid_ratio <-> bearish_market_momentum;4.1501
bullish_market_momentum <-> deltaTimestampOpeningSection5min;4.1386
diffLowPrice_0_1 <-> extrem_zone_significance_bearish_extrem;4.1265
diffPriceClosePoc_0_2 <-> perctBB;4.0806
bearish_volume_quality <-> bullish_repeatAskBid_ratio;3.9203
ratio_delta_vol_VA21P <-> bearish_extrem_abs_ratio_extrem;3.9174
bearish_volume_quality <-> market_regimeADX;3.8861
bearish_extrem_abs_ratio_extrem <-> diffPriceClose_VA21PvaH;3.8780
bearish_market_context_score <-> perctBB;3.8780
bullish_repeatAskBid_ratio <-> VolCandleMeanxRatio;3.8299
diffLowPrice_0_1 <-> vol_volatility_score;3.7484
diffPriceClose_VA16PvaL <-> diffPriceClose_VA16PvaH;3.7218
bearish_market_context_score <-> VolCandleMeanxRatio;3.6705
diffHighPrice_0_3 <-> diffPriceClose_VA21PvaH;3.6699
deltaTimestampOpeningSection5min <-> bearish_volume_quality;3.6220
diffPriceClose_VA21PvaH <-> bullish_market_context_score;3.6065
bearish_absorption_intensity_repeat_count <-> deltaTimestampOpeningSection5min;3.5747
bearish_dsc_ask_bid_delta_imbalance <-> bearish_repeatAskBid_ratio;3.5638
