Correlation_Pair;Correlation_Value
deltaTimestampOpeningSection15min <-> deltaTimestampOpeningSection1min;1.0000
bearish_asc_ask_bid_imbalance <-> bearish_asc_dynamics;1.0000
bullish_dsc_ask_bid_imbalance <-> bullish_dsc_dynamics;1.0000
bullish_absorption_ratio <-> bullish_asc_dsc_ratio;1.0000
count_blw_tot_ratio <-> count_AbvBlw_asym_ratio;-1.0000
count_abv_tot_ratio <-> count_AbvBlw_asym_ratio;1.0000
count_abv_tot_ratio <-> count_blw_tot_ratio;-1.0000
bullish_asc_ask_bid_imbalance <-> bullish_asc_dynamics;1.0000
deltaTimestampOpeningSection5min <-> deltaTimestampOpeningSection1min;0.9999
deltaTimestampOpeningSection15min <-> deltaTimestampOpeningSection5min;0.9999
VolBlw_vol_ratio <-> bullish_reversal_force;0.9999
bearish_dsc_ask_bid_imbalance <-> bearish_dsc_dynamics;0.9999
deltaTimestampOpeningSection30min <-> deltaTimestampOpeningSection1min;0.9998
deltaTimestampOpeningSection30min <-> deltaTimestampOpeningSection15min;0.9998
deltaTimestampOpeningSection30min <-> deltaTimestampOpeningSection5min;0.9997
absorption_intensity_repeat_bullish_vol <-> bullish_bid_abs_ratio_blw;0.9985
asymetrie_volume <-> VolBlw_vol_ratio;-0.9984
asymetrie_volume <-> VolAbv_vol_ratio;0.9984
asymetrie_volume <-> bullish_reversal_force;-0.9983
bearish_ask_abs_ratio_abv <-> bearish_ask_ratio;0.9954
VolBlw_vol_ratio <-> VolAbv_vol_ratio;-0.9942
VolAbv_vol_ratio <-> bullish_reversal_force;-0.9936
count_blw_tot_ratio <-> VolAbv_vol_ratio;-0.9903
count_abv_tot_ratio <-> VolAbv_vol_ratio;0.9903
count_AbvBlw_asym_ratio <-> VolAbv_vol_ratio;0.9903
bullish_bid_ratio <-> ratioDeltaBlw;-0.9898
count_abv_tot_ratio <-> asymetrie_volume;0.9896
count_blw_tot_ratio <-> asymetrie_volume;-0.9896
count_AbvBlw_asym_ratio <-> asymetrie_volume;0.9896
bullish_ask_abs_ratio_blw <-> bullish_ask_ratio;0.9890
VolAbv_vol_ratio <-> bearish_reversal_force;0.9875
deltaCustomSectionMin <-> deltaTimestampOpeningSection30min;0.9869
deltaCustomSectionMin <-> deltaTimestampOpeningSection1min;0.9867
deltaCustomSectionMin <-> deltaTimestampOpeningSection15min;0.9867
deltaCustomSectionMin <-> deltaTimestampOpeningSection5min;0.9866
count_abv_tot_ratio <-> VolBlw_vol_ratio;-0.9864
count_AbvBlw_asym_ratio <-> VolBlw_vol_ratio;-0.9864
count_blw_tot_ratio <-> VolBlw_vol_ratio;0.9864
count_blw_tot_ratio <-> bullish_reversal_force;0.9860
count_abv_tot_ratio <-> bullish_reversal_force;-0.9860
count_AbvBlw_asym_ratio <-> bullish_reversal_force;-0.9860
asymetrie_volume <-> bearish_reversal_force;0.9857
VolBlw_vol_ratio <-> bearish_reversal_force;-0.9809
bullish_reversal_force <-> bearish_reversal_force;-0.9803
count_abv_tot_ratio <-> bearish_reversal_force;0.9776
count_AbvBlw_asym_ratio <-> bearish_reversal_force;0.9776
count_blw_tot_ratio <-> bearish_reversal_force;-0.9776
bearish_ask_ratio <-> ratioDeltaAbv;0.9704
bullish_ask_ratio <-> ratioDeltaBlw;0.9671
bearish_abs_diff_abv <-> ratioDeltaAbv;0.9667
diffLowPrice_0_5 <-> diffLowPrice_0_4;0.9654
bullish_absorption_intensity_repeat_count <-> absorption_intensity_repeat_bullish_vol;0.9616
bullish_absorption_intensity_repeat_count <-> bullish_bid_abs_ratio_blw;0.9604
bearish_abs_diff_abv <-> bearish_bid_ratio;-0.9584
bearish_ask_abs_ratio_abv <-> ratioDeltaAbv;0.9580
bullish_ask_abs_ratio_blw <-> ratioDeltaBlw;0.9555
diffHighPrice_0_5 <-> diffPriceClosePoc_0_5;0.9505
bearish_imbalance_evolution <-> bearish_asc_dynamics;0.9497
bearish_imbalance_evolution <-> bearish_asc_ask_bid_imbalance;0.9497
bearish_abs_diff_abv <-> bearish_ask_ratio;0.9491
bullish_bid_ratio <-> bullish_ask_ratio;-0.9476
bearish_bid_ratio <-> ratioDeltaAbv;-0.9473
bearish_absorption_score <-> vol_volatility_score;0.9465
diffHighPrice_0_4 <-> diffHighPrice_0_3;0.9420
bearish_abs_diff_abv <-> bearish_ask_abs_ratio_abv;0.9410
diffHighPrice_0_4 <-> diffPriceClosePoc_0_4;0.9364
bearish_extrem_vs_rest_activity_extrem <-> bearish_extrem_zone_volume_ratio_extrem;0.9358
bullish_ask_abs_ratio_blw <-> bullish_bid_ratio;-0.9358
diffLowPrice_0_3 <-> diffLowPrice_0_2;0.9350
diffHighPrice_0_1 <-> diffPriceClosePoc_0_1;0.9297
bearish_abs_diff_abv <-> bearish_bid_abs_ratio_abv;-0.9279
bullish_absorption_score <-> bearish_absorption_score;0.9276
bearish_imbalance_evolution <-> bearish_dsc_ask_bid_imbalance;-0.9274
bearish_imbalance_evolution <-> bearish_dsc_dynamics;-0.9270
diffHighPrice_0_3 <-> diffPriceClosePoc_0_3;0.9246
VolCandleMeanxRatio <-> diffVolCandle_0_1Ratio;0.9228
absorption_intensity_repeat_bearish_vol <-> bearish_ask_abs_ratio_abv;0.9207
bearish_bid_abs_ratio_abv <-> bearish_bid_ratio;0.9182
diffPriceClose_VA21PvaL <-> diffPriceClose_VA21PPoc;0.9159
