feature;importance;importance_percentage;cumulative_importance_percentage
diffLowPrice_0_1;-0.00045321713;9.509763;9.509763
diffPriceClosePoc_0_3;0.0003127965;6.5633454;16.073109
bearish_repeatAskBid_ratio;-0.00029294207;6.146744;22.219852
perctBB;-0.00025325807;5.3140626;27.533915
diffVolCandle_0_1Ratio;-0.00020096396;4.216786;31.7507
VolCandleMeanxRatio;-0.00016389895;3.4390583;35.18976
diffPriceClose_VA16PvaH;-0.0001426619;2.9934454;38.183205
diffPriceClosePoc_0_2;0.00012477243;2.6180744;40.801277
diffPriceClose_VA6PvaH;-0.00011765623;2.4687567;43.270035
perct_VA16P;-0.00011763344;2.4682784;45.73831
bearish_volume_quality;-0.000106801046;2.2409844;47.979298
diffVolDelta_0_1Ratio;9.759423e-05;2.0477998;50.027096
diffHighPrice_0_2;9.751679e-05;2.046175;52.073273
bullish_market_momentum;9.6063224e-05;2.015675;54.088947
diffLowPrice_0_2;9.336697e-05;1.9591001;56.048046
diffPriceClose_VA6PvaL;-8.944888e-05;1.8768874;57.924934
diffPriceClose_VA16PvaL;7.31032e-05;1.5339096;59.458843
bearish_dsc_ask_bid_delta_imbalance;6.8770256e-05;1.4429922;60.901836
bearish_market_context_score;-6.8107445e-05;1.4290847;62.33092
deltaTimestampOpeningSection1min;-6.744986e-05;1.4152867;63.74621
bearish_extrem_revIntensity_ratio_extrem;6.6241126e-05;1.389924;65.13613
bullish_repeatAskBid_ratio;6.103998e-05;1.2807895;66.41692
bearish_extrem_pressure_ratio_extrem;-5.783248e-05;1.2134871;67.63041
perct_VA21P;-5.4487762e-05;1.1433055;68.77371
bearish_market_momentum;5.4103923e-05;1.1352515;69.908966
diffPriceClose_VA16PPoc;-5.3783322e-05;1.1285244;71.03749
bullish_activity_volume_score;5.2562646e-05;1.1029114;72.1404
diffPriceClosePoc_0_1;4.646878e-05;0.9750449;73.11545
bullish_asc_ask_bid_delta_imbalance;-4.0644944e-05;0.8528446;73.96829
bullish_combined_pressure;-3.867691e-05;0.8115497;74.77984
ratio_delta_vol_VA21P;-3.5542573e-05;0.74578255;75.52562
diffHighPrice_0_3;3.2851967e-05;0.6893261;76.21494
diffLowPrice_0_5;-3.234407e-05;0.67866904;76.893616
diffPriceClose_VA11PvaH;2.9444293e-05;0.6178236;77.51144
bullish_absorption_intensity_repeat_count;-2.865252e-05;0.60121;78.11265
diffPriceClose_VA21PPoc;-2.8378232e-05;0.59545463;78.7081
bullish_dsc_dynamics;-2.7976812e-05;0.5870318;79.29513
VolAbv_vol_ratio;-2.7877179e-05;0.58494115;79.880066
bearish_activity_volume_score;-2.7132657e-05;0.569319;80.44939
bearish_bid_score;-2.4363613e-05;0.51121676;80.9606
bearish_asc_ask_bid_delta_imbalance;-2.3835868e-05;0.5001432;81.46075
is_in_range_5_23;2.3291343e-05;0.4887175;81.94946
bear_imbalance_high_3;2.1434586e-05;0.44975755;82.39922
pocDeltaPocVolRatio;2.0902435e-05;0.4385915;82.837814
bearish_asc_dsc_ratio;-2.0689255e-05;0.43411842;83.271935
extrem_asc_dsc_comparison_bearish_extrem;2.0598662e-05;0.43221754;83.704155
bullish_absorption_score;-2.0260493e-05;0.42512178;84.12928
bullish_imnbScore_score;-2.0229405e-05;0.4244695;84.55375
bull_imbalance_high_2;1.9694528e-05;0.41324627;84.966995
diffPriceClose_VA21PvaH;1.9012103e-05;0.3989271;85.36592
ratio_delta_vol_VA16P;-1.8943498e-05;0.39748755;85.763405
bearish_absorption_intensity_repeat_count;1.8250605e-05;0.38294873;86.146355
bearish_extrem_abs_ratio_extrem;-1.8188339e-05;0.38164222;86.528
bullish_ask_score;-1.7989312e-05;0.37746605;86.905464
bearish_extrem_dsc_ratio_extrem;1.7340632e-05;0.36385494;87.26932
bullish_dsc_ask_bid_imbalance;-1.7175376e-05;0.3603874;87.62971
bearish_absorption_score;-1.7143042e-05;0.35970896;87.98942
bearish_extreme_volume_score;-1.6756454e-05;0.35159725;88.34102
absorption_intensity_repeat_bearish_vol;-1.6744096e-05;0.35133794;88.69236
diffPriceClosePoc_0_5;1.5712796e-05;0.32969838;89.02206
perct_VA6P;-1.5663383e-05;0.32866156;89.350716
bearish_absorption_ratio;-1.5575339e-05;0.32681414;89.67753
diffHighPrice_0_1;-1.5249319e-05;0.31997335;89.997505
bearish_ask_abs_ratio_abv;1.5182994e-05;0.31858167;90.316086
VolPocVolCandleRatio;1.4785623e-05;0.31024373;90.62633
bullish_ask_bid_ratio;1.4459643e-05;0.30340376;90.92973
bearish_reversal_force;-1.421437e-05;0.29825723;91.22799
bearish_extrem_zone_volume_ratio_extrem;-1.4019712e-05;0.29417276;91.52216
bearish_asc_dynamics;-1.3941615e-05;0.29253408;91.8147
ratio_delta_vol_VA6P;1.3794828e-05;0.28945407;92.10415
diffHighPrice_0_4;1.3319023e-05;0.27947035;92.38362
bearish_bid_ratio;1.32529685e-05;0.27808434;92.661705
diffPriceCloseVWAP;-1.2347712e-05;0.25908953;92.92079
diffPriceClose_VA21PvaL;-1.186899e-05;0.2490446;93.16984
extrem_zone_significance_bearish_extrem;1.1743107e-05;0.24640323;93.416245
diffHighPrice_0_5;1.13295255e-05;0.23772511;93.65397
deltaTimestampOpeningSection5min;1.124137e-05;0.23587537;93.88985
diffLowPrice_0_3;1.1052559e-05;0.2319136;94.12176
bearish_imnbScore_score;-1.0723984e-05;0.22501917;94.34678
bear_imbalance_high_1;-1.0341303e-05;0.21698946;94.56377
deltaCustomSectionMin;-1.01020805e-05;0.2119699;94.775734
bearish_combined_pressure;1.0059689e-05;0.2110804;94.98682
imbalance_score_low;-9.762986e-06;0.20485476;95.19167
bullish_asc_dsc_ratio;-9.489883e-06;0.19912429;95.3908
deltaTimestampOpeningSection15min;-9.3197e-06;0.19555339;95.58636
range_strength_5_23;9.237681e-06;0.19383238;95.78019
bull_imbalance_high_1;-8.973665e-06;0.1882926;95.96848
diffPriceClosePoc_0_0;7.677509e-06;0.1610956;96.12958
bull_imbalance_low_2;-7.0754127e-06;0.14846194;96.27804
price_volume_dynamic;-6.9857965e-06;0.14658155;96.42462
bullish_market_context_score;6.7267756e-06;0.14114656;96.565765
candleSizeTicks;-6.624982e-06;0.13901064;96.70477
poc_diff_6P_16P;-6.536408e-06;0.13715212;96.84193
bearish_extrem_vs_rest_activity_extrem;-6.216546e-06;0.13044052;96.97237
bullish_bid_abs_ratio_blw;5.7679135e-06;0.12102695;97.09339
bull_imbalance_high_0;5.653839e-06;0.118633345;97.21203
bear_imbalance_high_2;5.5149967e-06;0.115720056;97.32775
imbalance_score_high;-5.4304464e-06;0.11394595;97.441696
poc_diff_ratio_6P_16P;-5.3853846e-06;0.11300043;97.554695
bearish_repeat_ticks_ratio_extrem;5.3042236e-06;0.11129745;97.66599
diffPriceClose_VA11PPoc;-5.2246373e-06;0.10962751;97.77562
bearish_dsc_ask_bid_imbalance;5.1952284e-06;0.10901042;97.88463
bear_imbalance_low_1;-5.1033594e-06;0.10708275;97.991714
cumDiffVolDeltaRatio;-5.0975154e-06;0.106960125;98.09867
bull_imbalance_low_1;5.037905e-06;0.10570933;98.204384
finished_auction_low;-4.883242e-06;0.10246407;98.30685
bearish_ask_bid_ratio;4.825075e-06;0.10124356;98.40809
atr;-4.6022133e-06;0.0965673;98.504654
bearish_bid_abs_ratio_abv;-4.125718e-06;0.0865691;98.591225
bandWidthBB;-3.9778424e-06;0.08346626;98.67469
bullish_asc_dynamics;3.9044057e-06;0.08192535;98.756615
market_regimeADX;-3.7166465e-06;0.07798564;98.8346
bullish_dsc_ask_bid_delta_imbalance;-3.5705352e-06;0.07491981;98.90952
deltaTimestampOpeningSection30min;-3.5012563e-06;0.073466145;98.98299
diffPriceCloseVWAPbyIndex;3.2676162e-06;0.06856372;99.05155
bear_imbalance_low_2;-2.8633335e-06;0.060080744;99.11163
bullish_bid_ratio;2.8467227e-06;0.059732202;99.171364
