Interaction;Value
deltaTimestampOpeningSection5min <-> diffPriceCloseVWAP;78.6011
perctBB <-> diffPriceClosePoc_0_2;45.3848
deltaTimestampOpeningSection5min <-> bearish_repeatAskBid_ratio;43.4189
diffPriceCloseVWAP <-> bearish_repeatAskBid_ratio;42.2080
bear_imbalance_high_1 <-> bearish_repeatAskBid_ratio;37.0070
bull_imbalance_high_0 <-> bear_imbalance_high_1;35.7674
diffPriceClosePoc_0_2 <-> bearish_repeatAskBid_ratio;34.9207
bull_imbalance_high_1 <-> bear_imbalance_high_2;34.1798
finished_auction_low <-> bearish_repeatAskBid_ratio;33.2468
bull_imbalance_high_0 <-> bearish_repeatAskBid_ratio;28.2069
diffPriceClosePoc_0_2 <-> deltaTimestampOpeningSection5min;24.3355
perctBB <-> deltaTimestampOpeningSection5min;23.5971
diffPriceCloseVWAP <-> diffVolDelta_0_1Ratio;23.5698
bearish_repeatAskBid_ratio <-> diffVolDelta_0_1Ratio;23.3025
finished_auction_high <-> deltaTimestampOpeningSection5min;22.8561
diffVolCandle_0_1Ratio <-> bearish_repeatAskBid_ratio;22.7827
bull_imbalance_high_2 <-> bearish_repeatAskBid_ratio;22.3428
bearish_repeatAskBid_ratio <-> bearish_ask_score;20.8505
asymetrie_volume <-> deltaTimestampOpeningSection5min;20.7769
bear_imbalance_high_2 <-> deltaTimestampOpeningSection5min;20.5120
deltaTimestampOpeningSection5min <-> bearish_ask_score;19.7993
bearish_repeatAskBid_ratio <-> asymetrie_volume;17.4861
bull_imbalance_high_0 <-> deltaTimestampOpeningSection5min;17.4769
finished_auction_high <-> bull_imbalance_high_0;17.4750
deltaTimestampOpeningSection5min <-> bear_imbalance_high_1;16.8225
bear_imbalance_high_1 <-> diffPriceCloseVWAP;16.5758
deltaTimestampOpeningSection5min <-> bull_imbalance_high_1;16.3998
diffPriceCloseVWAP <-> diffVolCandle_0_1Ratio;16.2964
deltaTimestampOpeningSection5min <-> finished_auction_low;16.0871
diffVolCandle_0_1Ratio <-> deltaTimestampOpeningSection5min;15.8486
bear_imbalance_high_3 <-> bearish_repeatAskBid_ratio;15.7714
deltaTimestampOpeningSection5min <-> bear_imbalance_high_3;14.2519
bearish_repeatAskBid_ratio <-> diffHighPrice_0_1;14.1710
diffHighPrice_0_1 <-> diffPriceClosePoc_0_2;13.9360
bull_imbalance_high_0 <-> perctBB;13.9145
perctBB <-> diffHighPrice_0_1;13.3286
bull_imbalance_high_2 <-> deltaTimestampOpeningSection5min;13.0402
diffPriceCloseVWAP <-> bull_imbalance_high_0;13.0401
perctBB <-> diffVolDelta_0_1Ratio;13.0147
perctBB <-> bear_imbalance_high_1;12.7944
