feature;importance;importance_percentage;cumulative_importance_percentage
perctBB;-0.000760024;15.714495;15.714495
diffPriceClosePoc_0_2;0.0007029283;14.533965;30.248459
bull_imbalance_high_0;-0.00060928863;12.597842;42.846302
deltaTimestampOpeningSection5min;-0.0005524235;11.422081;54.268383
bearish_repeatAskBid_ratio;-0.00038871472;8.037188;62.305573
bear_imbalance_high_1;0.00035830674;7.4084625;69.714035
finished_auction_high;0.0002141249;4.4273133;74.14135
diffVolCandle_0_1Ratio;-0.00021135794;4.370103;78.51145
diffVolDelta_0_1Ratio;-0.00019942949;4.1234665;82.63492
bull_imbalance_high_1;-0.00015293532;3.1621385;85.79706
diffHighPrice_0_1;-0.000149096;3.0827556;88.879814
bull_imbalance_high_2;0.00014236351;2.9435525;91.823364
diffPriceCloseVWAP;0.000119092285;2.4623892;94.28575
bear_imbalance_high_2;9.954653e-05;2.0582552;96.34401
bear_imbalance_high_3;5.6601843e-05;1.1703174;97.51433
finished_auction_low;-4.010317e-05;0.82918566;98.34351
diffPriceClosePoc_0_0;-3.0526964e-05;0.63118505;98.9747
asymetrie_volume;2.7821452e-05;0.575245;99.54995
bearish_ask_score;2.1766935e-05;0.45005995;100.00001
