Interaction;Value
bearish_volume_quality <-> bearish_extreme_volume_score;52.8852
perct_VA16P <-> diffPriceClose_VA16PvaH;51.7319
diffPriceClose_VA16PvaH <-> VolCandleMeanxRatio;38.4287
bearish_market_context_score <-> VolCandleMeanxRatio;31.3321
perctBB <-> diffPriceClosePoc_0_3;30.0482
diffPriceClose_VA21PvaH <-> bearish_extrem_abs_ratio_extrem;29.4963
perctBB <-> diffHighPrice_0_3;28.1508
bearish_market_momentum <-> VolCandleMeanxRatio;26.3521
perct_VA21P <-> bearish_repeatAskBid_ratio;25.9595
diffVolDelta_0_1Ratio <-> diffLowPrice_0_1;25.5017
diffVolCandle_0_1Ratio <-> bearish_activity_volume_score;25.3341
diffLowPrice_0_1 <-> VolCandleMeanxRatio;24.7719
deltaTimestampOpeningSection1min <-> diffPriceClosePoc_0_3;23.6566
bullish_market_momentum <-> bearish_extrem_abs_ratio_extrem;22.9704
diffLowPrice_0_2 <-> VolCandleMeanxRatio;22.4254
bearish_extrem_abs_ratio_extrem <-> diffLowPrice_0_1;22.4191
diffPriceClosePoc_0_2 <-> perctBB;22.2727
bearish_repeatAskBid_ratio <-> absorption_intensity_repeat_bearish_vol;22.0135
diffLowPrice_0_2 <-> diffPriceClose_VA16PvaH;21.7576
deltaTimestampOpeningSection1min <-> bullish_absorption_score;21.5447
deltaTimestampOpeningSection5min <-> perct_VA6P;21.2832
bullish_dsc_dynamics <-> bearish_market_context_score;21.0810
bearish_market_momentum <-> bearish_repeatAskBid_ratio;20.7360
bearish_dsc_ask_bid_delta_imbalance <-> bearish_ask_abs_ratio_abv;20.6554
diffVolCandle_0_1Ratio <-> diffLowPrice_0_1;20.3240
bearish_market_context_score <-> bullish_activity_volume_score;20.3238
bearish_repeatAskBid_ratio <-> bullish_dsc_ask_bid_imbalance;19.9662
bearish_extreme_volume_score <-> bearish_extrem_abs_ratio_extrem;19.9241
deltaTimestampOpeningSection5min <-> bearish_extrem_abs_ratio_extrem;19.7812
diffPriceCloseVWAP <-> bearish_market_context_score;19.7262
diffLowPrice_0_3 <-> bullish_absorption_score;19.4083
diffPriceCloseVWAP <-> diffVolDelta_0_1Ratio;19.1733
VolCandleMeanxRatio <-> perct_VA16P;19.1489
bullish_repeatAskBid_ratio <-> perct_VA16P;19.0805
bearish_market_context_score <-> perct_VA21P;18.7596
bearish_combined_pressure <-> VolPocVolCandleRatio;18.6246
diffHighPrice_0_3 <-> bearish_market_context_score;18.4354
diffPriceClose_VA16PvaH <-> bearish_activity_volume_score;18.0741
diffPriceCloseVWAP <-> perct_VA6P;18.0617
bearish_repeatAskBid_ratio <-> bearish_extrem_abs_ratio_extrem;17.9586
