feature;importance;importance_percentage;cumulative_importance_percentage
bearish_extreme_volume_score;-0.0019588056;13.230482;13.230482
bearish_volume_quality;0.0016382219;11.065144;24.295626
diffPriceClose_VA16PvaH;-0.0014122392;9.5387745;33.8344
perct_VA16P;0.0011804041;7.972876;41.807278
perctBB;-0.0011379151;7.68589;49.493168
bearish_repeatAskBid_ratio;-0.00064031506;4.324919;53.81809
diffHighPrice_0_3;0.00056714006;3.8306692;57.648758
diffLowPrice_0_1;-0.0003987412;2.6932423;60.342
bearish_activity_volume_score;-0.00036313356;2.4527354;62.794735
pocDeltaPocVolRatio;0.00034723958;2.3453817;65.140114
diffPriceClosePoc_0_2;0.0003165998;2.1384294;67.27854
bearish_absorption_score;0.00030133812;2.0353465;69.31389
diffVolCandle_0_1Ratio;-0.0002792751;1.886325;71.20021
bearish_extrem_abs_ratio_extrem;-0.00024261748;1.6387261;72.838936
bearish_extrem_pressure_ratio_extrem;-0.00023781825;1.6063105;74.445244
bullish_absorption_score;-0.00023266986;1.5715364;76.01678
deltaCustomSectionMin;-0.00022819212;1.5412921;77.55807
bearish_combined_pressure;0.00021766758;1.4702055;79.028275
bearish_market_momentum;0.00020693171;1.3976917;80.425964
absorption_intensity_repeat_bearish_vol;0.00020215599;1.3654346;81.7914
VolCandleMeanxRatio;0.00017810993;1.2030189;82.994415
bullish_activity_volume_score;0.00016251963;1.0977163;84.09213
diffPriceCloseVWAP;-0.00016205892;1.0946046;85.18674
bearish_extrem_revIntensity_ratio_extrem;0.00014790955;0.9990346;86.18577
bearish_absorption_ratio;0.00014362155;0.9700719;87.15584
diffVolDelta_0_1Ratio;0.00012769918;0.8625264;88.018364
bullish_market_momentum;-0.00011375306;0.7683293;88.78669
bearish_asc_dynamics;0.000106493775;0.71929747;89.50599
bearish_dsc_ask_bid_delta_imbalance;-0.000105898616;0.71527755;90.22127
bullish_dsc_ask_bid_imbalance;8.9817004e-05;0.60665655;90.82793
diffLowPrice_0_3;8.5719585e-05;0.5789811;91.406906
deltaTimestampOpeningSection1min;8.317078e-05;0.56176555;91.96867
bullish_dsc_dynamics;-8.229671e-05;0.5558617;92.524536
VolAbv_vol_ratio;-8.1965394e-05;0.5536239;93.07816
bearish_asc_ask_bid_delta_imbalance;-8.1242986e-05;0.5487445;93.62691
diffHighPrice_0_1;-8.034454e-05;0.5426761;94.169586
diffHighPrice_0_2;7.644067e-05;0.51630795;94.6859
perct_VA6P;-7.1777016e-05;0.48480794;95.17071
ratio_delta_vol_VA6P;-6.517702e-05;0.44022915;95.61094
diffLowPrice_0_2;5.6395602e-05;0.3809163;95.99185
diffPriceClose_VA21PPoc;-5.4221684e-05;0.36623287;96.358086
diffPriceClose_VA11PvaH;-4.7507583e-05;0.3208834;96.67897
diffPriceClose_VA16PvaL;-4.2667416e-05;0.28819117;96.96716
bullish_absorption_intensity_repeat_count;3.6041878e-05;0.24343987;97.2106
bullish_repeatAskBid_ratio;-3.5409856e-05;0.23917097;97.449776
diffPriceClosePoc_0_3;-3.4302753e-05;0.2316932;97.681465
diffPriceClose_VA16PPoc;-3.40704e-05;0.2301238;97.91159
bullish_ask_score;-3.2788015e-05;0.2214621;98.13305
ratio_delta_vol_VA21P;-3.0354056e-05;0.20502228;98.33807
bullish_asc_ask_bid_delta_imbalance;2.6328078e-05;0.17782937;98.5159
diffHighPrice_0_4;2.5603256e-05;0.17293365;98.688835
deltaTimestampOpeningSection5min;-2.4379933e-05;0.16467088;98.85351
diffPriceClose_VA21PvaH;2.3624032e-05;0.15956526;99.01308
bearish_extrem_dsc_ratio_extrem;-1.808758e-05;0.12217006;99.13525
diffLowPrice_0_5;1.7960077e-05;0.12130886;99.25655
diffPriceClose_VA6PvaL;1.5752968e-05;0.10640125;99.36295
perct_VA21P;-1.5127012e-05;0.10217331;99.465126
is_in_range_5_23;1.44979995e-05;0.097924724;99.56305
bear_imbalance_high_1;-1.1691859e-05;0.07897104;99.64202
bearish_market_context_score;1.134434e-05;0.07662378;99.71864
VolPocVolCandleRatio;-9.489155e-06;0.06409318;99.78274
ratio_delta_vol_VA16P;9.448457e-06;0.06381829;99.84656
extrem_asc_dsc_comparison_bearish_extrem;-8.875213e-06;0.0599464;99.9065
bearish_absorption_intensity_repeat_count;6.264644e-06;0.042313673;99.948814
bullish_combined_pressure;-2.3153532e-06;0.015638731;99.964455
diffPriceClosePoc_0_1;2.0116697e-06;0.013587546;99.97804
bearish_bid_ratio;1.2311659e-06;0.00831574;99.98636
diffPriceClosePoc_0_5;1.0521828e-06;0.007106824;99.99347
bullish_ask_bid_ratio;9.657216e-07;0.006522833;99.99999
bearish_extrem_zone_volume_ratio_extrem;0.0;0.0;99.99999
bull_imbalance_high_2;0.0;0.0;99.99999
bullish_imnbScore_score;0.0;0.0;99.99999
bearish_reversal_force;0.0;0.0;99.99999
diffPriceClose_VA6PvaH;0.0;0.0;99.99999
bearish_asc_dsc_ratio;0.0;0.0;99.99999
diffPriceClose_VA21PvaL;0.0;0.0;99.99999
extrem_zone_significance_bearish_extrem;0.0;0.0;99.99999
diffHighPrice_0_5;0.0;0.0;99.99999
bear_imbalance_high_3;0.0;0.0;99.99999
bearish_bid_score;0.0;0.0;99.99999
bearish_imnbScore_score;0.0;0.0;99.99999
bearish_ask_abs_ratio_abv;0.0;0.0;99.99999
