Interaction;Value;Percentage_Contribution
bearish_dsc_ask_bid_delta_imbalance <-> perct_VA6P;57.3589;1.3195
ratio_delta_vol_VA11P <-> bearish_absorption_intensity_repeat_count;56.4875;1.2995
diffVolDelta_0_1Ratio <-> bullish_imnbScore_score;50.8075;1.1688
bearish_absorption_intensity_repeat_count <-> bullish_combined_pressure;50.0508;1.1514
diffPriceClosePoc_0_2 <-> bearish_dsc_ask_bid_delta_imbalance;46.0476;1.0593
diffLowPrice_0_5 <-> perct_VA11P;43.1159;0.9919
bullish_asc_ask_bid_delta_imbalance <-> bearish_market_context_score;42.4543;0.9766
bearish_combined_pressure <-> perct_VA11P;42.2347;0.9716
bearish_ask_ratio <-> diffPriceClosePoc_0_4;42.0791;0.9680
bearish_absorption_ratio <-> diffPriceCloseVWAP;40.5006;0.9317
perct_VA16P <-> bearish_dsc_ask_bid_delta_imbalance;40.2186;0.9252
bandWidthBB <-> bearish_dsc_ask_bid_delta_imbalance;39.9996;0.9202
imbalance_score_high <-> diffLowPrice_0_3;36.5996;0.8420
bearish_reversal_force <-> diffPriceClose_VA21PvaL;36.5970;0.8419
bullish_imnbScore_score <-> bearish_repeatAskBid_ratio;36.5700;0.8413
market_regimeADX <-> bull_imbalance_high_0;35.5891;0.8187
bull_imbalance_high_0 <-> bull_imbalance_low_3;33.4052;0.7685
bull_imbalance_high_0 <-> bearish_ask_ratio;33.2753;0.7655
bull_imbalance_high_2 <-> bull_imbalance_high_0;32.9275;0.7575
diffPriceClose_VA16PvaH <-> bearish_dsc_ask_bid_delta_imbalance;32.7586;0.7536
perct_VA11P <-> bearish_dsc_ask_bid_delta_imbalance;32.5367;0.7485
perct_VA21P <-> market_regimeADX;31.5233;0.7252
range_strength_10_32 <-> bull_imbalance_high_0;30.2995;0.6970
bullish_combined_pressure <-> overlap_ratio_VA_11P_21P;30.1883;0.6945
bullish_ask_bid_ratio <-> pocDeltaPocVolRatio;30.0504;0.6913
diffLowPrice_0_4 <-> poc_diff_ratio_11P_21P;29.9014;0.6879
diffPriceCloseVWAP <-> bandWidthBB;29.8356;0.6864
bearish_repeatAskBid_ratio <-> bearish_imnbScore_score;29.6299;0.6816
bearish_dsc_ask_bid_delta_imbalance <-> VolCandleMeanxRatio;29.3390;0.6749
perctBB <-> bearish_absorption_score;29.1986;0.6717
finished_auction_high <-> diffPriceClose_VA11PvaH;29.0972;0.6694
diffPriceCloseVWAP <-> bullish_asc_dynamics;28.9204;0.6653
diffHighPrice_0_3 <-> deltaTimestampOpeningSection5min;28.5311;0.6563
bear_imbalance_low_1 <-> bearish_absorption_intensity_repeat_count;28.4901;0.6554
bull_imbalance_high_0 <-> perct_VA11P;28.0536;0.6454
naked_poc_dist_above <-> bearish_repeatAskBid_ratio;27.9953;0.6440
bearish_absorption_score <-> bull_imbalance_low_1;27.9125;0.6421
bearish_dsc_ask_bid_delta_imbalance <-> diffPriceClose_VA11PvaH;27.5217;0.6331
bullish_combined_pressure <-> overlap_ratio_VA_6P_16P;26.7294;0.6149
finished_auction_high <-> bullish_asc_ask_bid_delta_imbalance;26.6149;0.6123
diffPriceClose_VA16PvaH <-> bullish_bid_abs_ratio_blw;26.0103;0.5984
bearish_ask_abs_ratio_abv <-> diffPriceClose_VA21PvaH;25.7816;0.5931
bearish_dsc_ask_bid_delta_imbalance <-> poc_diff_ratio_6P_16P;25.6389;0.5898
diffPriceCloseVWAP <-> market_regimeADX;25.5034;0.5867
bearish_absorption_score <-> poc_diff_ratio_6P_16P;25.4104;0.5846
bull_imbalance_high_2 <-> diffVolCandle_0_1Ratio;25.1176;0.5778
diffVolDelta_0_1Ratio <-> bull_imbalance_high_2;24.4648;0.5628
bullish_ask_ratio <-> ratio_delta_vol_VA16P;24.0927;0.5542
deltaTimestampOpeningSection30min <-> bullish_imnbScore_score;23.9724;0.5515
range_strength_10_32 <-> range_strength_5_23;23.9480;0.5509
bull_imbalance_high_0 <-> bullish_bid_score;23.8542;0.5488
price_volume_dynamic <-> perct_VA21P;23.7741;0.5469
poc_diff_ratio_11P_21P <-> perct_VA11P;23.7316;0.5459
price_volume_dynamic <-> bearish_ask_ratio;23.3030;0.5361
diffPriceClose_VA21PvaL <-> diffLowPrice_0_5;23.2199;0.5342
VolCandleMeanxRatio <-> deltaTimestampOpeningSection1min;22.6873;0.5219
bearish_absorption_intensity_repeat_count <-> bearish_asc_ask_bid_delta_imbalance;22.6601;0.5213
bull_imbalance_high_1 <-> diffPriceClose_VA16PvaH;22.5308;0.5183
bullish_imbalance_evolution <-> price_volume_dynamic;22.2727;0.5124
diffPriceClose_VA21PvaL <-> poc_diff_6P_16P;22.1744;0.5101
diffPriceCloseVWAP <-> bull_imbalance_low_3;22.1440;0.5094
diffPriceCloseVWAP <-> bearish_ask_ratio;22.0999;0.5084
poc_diff_6P_21P <-> bullish_asc_ask_bid_delta_imbalance;22.0052;0.5062
diffPriceClose_VA16PvaH <-> atr;21.7041;0.4993
bull_imbalance_high_2 <-> bullish_asc_ask_bid_delta_imbalance;20.9528;0.4820
diffPriceCloseVWAP <-> price_volume_dynamic;20.8955;0.4807
deltaTimestampOpeningSection30min <-> bearish_repeatAskBid_ratio;20.5502;0.4727
bandWidthBB <-> bullish_bid_abs_ratio_blw;20.4551;0.4706
bandWidthBB <-> bull_imbalance_high_2;20.4468;0.4704
poc_diff_ratio_6P_21P <-> bearish_absorption_score;20.4120;0.4696
ratio_delta_vol_VA6P <-> bearish_absorption_intensity_repeat_count;20.3859;0.4690
perct_VA11P <-> bandWidthBB;20.3666;0.4685
diffPriceClosePoc_0_4 <-> vol_volatility_score;20.1998;0.4647
bearish_absorption_intensity_repeat_count <-> overlap_ratio_VA_11P_21P;20.0664;0.4616
diffVolCandle_0_1Ratio <-> bearish_repeatAskBid_ratio;20.0304;0.4608
range_strength_5_23 <-> bearish_absorption_intensity_repeat_count;19.9160;0.4582
overlap_ratio_VA_6P_21P <-> diffVolDelta_0_1Ratio;19.8418;0.4565
bearish_dsc_ask_bid_delta_imbalance <-> pocDeltaPocVolRatio;19.6292;0.4516
bearish_absorption_intensity_repeat_count <-> diffLowPrice_0_2;19.4210;0.4468
market_regimeADX <-> deltaTimestampOpeningSection5min;19.2027;0.4418
bullish_absorption_score <-> imbalance_score_high;18.8426;0.4335
bullish_ask_score <-> bull_imbalance_low_3;18.7315;0.4309
bear_imbalance_high_1 <-> bullish_imnbScore_score;18.6396;0.4288
bearish_absorption_score <-> bear_imbalance_high_1;18.5305;0.4263
deltaTimestampOpeningSection1min <-> bearish_repeatAskBid_ratio;18.4293;0.4240
naked_poc_dist_below <-> bearish_dsc_ask_bid_delta_imbalance;18.3996;0.4233
diffPriceClosePoc_0_4 <-> price_volume_dynamic;18.2645;0.4202
bullish_combined_pressure <-> diffPriceClose_VA11PvaH;17.9556;0.4131
vol_volatility_score <-> pocDeltaPocVolRatio;17.7438;0.4082
diffLowPrice_0_4 <-> bearish_asc_dsc_ratio;17.6410;0.4058
diffPriceClose_VA21PPoc <-> diffPriceClose_VA6PPoc;17.5684;0.4042
bull_imbalance_high_2 <-> bullish_imnbScore_score;17.5031;0.4027
price_volume_dynamic <-> poc_diff_6P_21P;17.4825;0.4022
bearish_market_context_score <-> bull_imbalance_high_0;16.8470;0.3876
deltaTimestampOpeningSection1min <-> perct_VA11P;16.5047;0.3797
bullish_ask_score <-> bull_imbalance_high_0;16.4540;0.3785
perct_VA11P <-> cumDiffVolDeltaRatio;16.4330;0.3780
naked_poc_dist_above <-> bearish_absorption_intensity_repeat_count;16.1729;0.3721
bearish_absorption_score <-> diffPriceCloseVWAP;15.9975;0.3680
bearish_imnbScore_score <-> bearish_absorption_score;15.9683;0.3673
bull_imbalance_low_2 <-> bear_imbalance_low_2;15.7092;0.3614
bearish_dsc_ask_bid_delta_imbalance <-> poc_diff_ratio_11P_21P;15.6166;0.3593
poc_diff_6P_16P <-> bear_imbalance_high_1;15.5913;0.3587
range_strength_10_32 <-> bearish_repeatAskBid_ratio;15.5582;0.3579
bearish_asc_ask_bid_delta_imbalance <-> bull_imbalance_high_0;15.3969;0.3542
bull_imbalance_high_0 <-> naked_poc_dist_above;15.3255;0.3526
bearish_dsc_ask_bid_delta_imbalance <-> diffHighPrice_0_4;15.2923;0.3518
market_regimeADX <-> price_volume_dynamic;14.9959;0.3450
ratio_delta_vol_VA21P <-> bearish_market_context_score;14.8106;0.3407
bullish_combined_pressure <-> diffPriceClose_VA16PvaH;14.4614;0.3327
diffVolCandle_0_1Ratio <-> diffPriceCloseVWAP;14.3804;0.3308
bearish_absorption_intensity_repeat_count <-> diffPriceClose_VA6PPoc;14.3353;0.3298
diffPriceClose_VA11PPoc <-> diffPriceCloseVWAP;14.2420;0.3276
perct_VA6P <-> overlap_ratio_VA_11P_21P;14.2140;0.3270
bull_imbalance_high_2 <-> pocDeltaPocVolRatio;14.1805;0.3262
diffPriceCloseVWAP <-> perct_VA16P;14.1434;0.3254
bearish_ask_score <-> bearish_absorption_intensity_repeat_count;14.0491;0.3232
overlap_ratio_VA_6P_21P <-> deltaTimestampOpeningSection5min;13.9612;0.3212
bandWidthBB <-> range_strength_10_32;13.9343;0.3206
cumDiffVolDeltaRatio <-> pocDeltaPocVolRatio;13.8162;0.3178
bear_imbalance_high_1 <-> diffVolDelta_0_1Ratio;13.6765;0.3146
naked_poc_dist_above <-> bearish_ask_ratio;13.5999;0.3129
bearish_dsc_ask_bid_delta_imbalance <-> range_strength_5_23;13.4503;0.3094
bull_imbalance_high_1 <-> naked_poc_dist_below;13.3231;0.3065
bearish_combined_pressure <-> cumDiffVolDeltaRatio;13.2956;0.3059
diffPriceClose_VA16PvaH <-> bandWidthBB;13.2728;0.3053
perct_VA21P <-> bullish_combined_pressure;13.2484;0.3048
bull_imbalance_high_0 <-> ratioDeltaBlw;12.9746;0.2985
bullish_ask_score <-> bullish_asc_ask_bid_delta_imbalance;12.9443;0.2978
market_regimeADX <-> bandWidthBB;12.7686;0.2937
bearish_dsc_ask_bid_delta_imbalance <-> diffPriceClose_VA6PvaL;12.7252;0.2927
bear_imbalance_high_2 <-> bullish_asc_ask_bid_delta_imbalance;12.6082;0.2900
range_strength_5_23 <-> ratio_delta_vol_VA6P;12.5914;0.2897
bearish_combined_pressure <-> diffLowPrice_0_5;12.3079;0.2831
range_strength_10_32 <-> overlap_ratio_VA_11P_21P;12.2720;0.2823
bearish_reversal_force <-> diffLowPrice_0_5;12.2170;0.2810
