Interaction;Value
bearish_absorption_ratio <-> bearish_asc_dynamics;142.1268
bear_imbalance_high_2 <-> bull_imbalance_high_1;128.9217
bullish_bid_score <-> candleSizeTicks;111.6039
bullish_reversal_force <-> bullish_bid_score;104.1400
perct_VA21P <-> bearish_repeatAskBid_ratio;95.1244
bullish_absorption_score <-> vol_volatility_score;94.6890
bearish_market_context_score <-> bearish_volume_quality;93.3706
bullish_reversal_force <-> candleSizeTicks;89.6567
diffPriceClose_VA16PvaH <-> perct_VA16P;89.6369
perct_VA11P <-> diffPriceClose_VA11PvaH;86.6436
diffPriceCloseVWAP <-> vol_volatility_score;79.8538
bearish_dsc_ask_bid_delta_imbalance <-> bull_imbalance_high_0;79.7420
VolCandleMeanxRatio <-> diffVolCandle_0_1Ratio;78.6957
bullish_absorption_score <-> bullish_bid_abs_ratio_blw;75.7533
perct_VA16P <-> VolCandleMeanxRatio;74.7386
deltaTimestampOpeningSection5min <-> diffPriceCloseVWAP;69.2116
cumDiffVolDeltaRatio <-> perct_VA21P;68.3593
bearish_repeatAskBid_ratio <-> bear_imbalance_low_2;64.2501
VolCandleMeanxRatio <-> diffPriceClose_VA21PvaH;62.9251
bearish_dsc_ask_bid_delta_imbalance <-> bearish_continuation_vs_reversal_extrem;62.8359
bearish_market_context_score <-> bearish_activity_volume_score;62.4621
bearish_market_momentum <-> VolCandleMeanxRatio;60.6415
perct_VA21P <-> ratio_delta_vol_VA11P;60.2653
bearish_asc_dynamics <-> bullish_bid_score;59.8853
bearish_volume_quality <-> bearish_imbalance_evolution;59.8285
bear_imbalance_high_3 <-> candleSizeTicks;59.4077
bearish_repeatAskBid_ratio <-> bearish_activity_volume_score;58.1768
bearish_activity_volume_score <-> VolCandleMeanxRatio;57.4899
diffPriceCloseVWAP <-> deltaTimestampOpeningSection1min;56.8117
overlap_ratio_VA_6P_11P <-> bear_imbalance_high_1;56.7602
bullish_abs_diff_blw <-> deltaTimestampOpeningSection1min;55.9115
bearish_extrem_revIntensity_ratio_extrem <-> bear_imbalance_high_1;55.5743
VolPocVolCandleRatio <-> bullish_combined_pressure;55.3589
finished_auction_high <-> ratio_delta_vol_VA11P;55.2079
VolCandleMeanxRatio <-> bearish_volume_quality;54.9428
deltaTimestampOpeningSection1min <-> bearish_repeatAskBid_ratio;53.7879
bearish_market_momentum <-> bearish_repeatAskBid_ratio;53.7046
perct_VA11P <-> cumDiffVolDeltaRatio;53.6425
diffHighPrice_0_5 <-> bearish_market_context_score;53.1325
bearish_repeatAskBid_ratio <-> perct_VA11P;52.7216
