Correlation_Pair;Correlation_Value;Absolute_Correlation
bearish_asc_dynamics <-> bearish_asc_ask_bid_imbalance;1.0000;1.0000
deltaTimestampOpeningSection1min <-> deltaTimestampOpeningSection5min;0.9999;0.9999
deltaTimestampOpeningSection1min <-> deltaTimestampOpeningSection30min;0.9995;0.9995
deltaTimestampOpeningSection5min <-> deltaTimestampOpeningSection30min;0.9994;0.9994
diffLowPrice_0_4 <-> diffLowPrice_0_5;0.9892;0.9892
diffHighPrice_0_3 <-> diffHighPrice_0_4;0.9848;0.9848
ratioDeltaBlw <-> bullish_bid_ratio;-0.9831;0.9831
diffLowPrice_0_2 <-> diffLowPrice_0_3;0.9781;0.9781
diffPriceClosePoc_0_5 <-> diffHighPrice_0_5;0.9503;0.9503
diffHighPrice_0_1 <-> diffHighPrice_0_2;0.9502;0.9502
diffPriceClosePoc_0_1 <-> diffHighPrice_0_1;0.9363;0.9363
diffPriceClosePoc_0_4 <-> diffHighPrice_0_4;0.9335;0.9335
diffPriceClosePoc_0_3 <-> diffHighPrice_0_3;0.9229;0.9229
diffPriceClosePoc_0_4 <-> diffHighPrice_0_3;0.9191;0.9191
diffPriceClose_VA16PPoc <-> diffPriceClose_VA16PvaL;0.9124;0.9124
candleSizeTicks <-> diffPriceClosePoc_0_1;0.9119;0.9119
perct_VA21P <-> diffPriceClose_VA21PvaH;0.9061;0.9061
diffPriceClose_VA16PPoc <-> diffPriceClose_VA16PvaH;0.9051;0.9051
perct_VA16P <-> diffPriceClose_VA16PvaH;0.9032;0.9032
candleSizeTicks <-> count_AbvBlw_asym_ratio;-0.9014;0.9014
candleSizeTicks <-> count_blw_tot_ratio;0.9014;0.9014
candleSizeTicks <-> count_abv_tot_ratio;-0.9014;0.9014
candleSizeTicks <-> asymetrie_volume;-0.8983;0.8983
diffPriceClose_VA11PPoc <-> diffPriceClose_VA11PvaL;0.8978;0.8978
perct_VA11P <-> diffPriceClose_VA11PvaH;0.8974;0.8974
diffPriceClosePoc_0_3 <-> diffHighPrice_0_4;0.8973;0.8973
candleSizeTicks <-> VolAbv_vol_ratio;-0.8960;0.8960
candleSizeTicks <-> VolBlw_vol_ratio;0.8958;0.8958
candleSizeTicks <-> bullish_reversal_force;0.8956;0.8956
diffPriceClose_VA16PvaL <-> diffPriceClose_VA21PvaL;0.8954;0.8954
diffPriceClose_VA11PPoc <-> diffPriceClose_VA11PvaH;0.8914;0.8914
perct_VA6P <-> diffPriceClose_VA6PvaH;0.8824;0.8824
diffPriceClosePoc_0_1 <-> diffHighPrice_0_2;0.8800;0.8800
candleSizeTicks <-> bearish_reversal_force;-0.8777;0.8777
candleSizeTicks <-> diffHighPrice_0_1;0.8759;0.8759
diffPriceClose_VA6PPoc <-> diffPriceClose_VA6PvaH;0.8722;0.8722
diffPriceClose_VA16PvaH <-> diffPriceClose_VA21PvaH;0.8712;0.8712
perct_VA21P <-> diffPriceClose_VA21PPoc;0.8681;0.8681
diffPriceClose_VA6PPoc <-> diffPriceClose_VA6PvaL;0.8669;0.8669
diffPriceClosePoc_0_4 <-> diffPriceClosePoc_0_5;0.8619;0.8619
perct_VA16P <-> diffPriceClose_VA16PPoc;0.8528;0.8528
diffPriceClose_VA11PvaL <-> diffPriceClose_VA16PvaL;0.8477;0.8477
diffPriceClosePoc_0_5 <-> diffLowPrice_0_5;0.8386;0.8386
perct_VA11P <-> diffPriceClose_VA11PPoc;0.8366;0.8366
perct_VA16P <-> perct_VA21P;0.8345;0.8345
diffPriceClosePoc_0_3 <-> diffPriceClosePoc_0_4;0.8317;0.8317
diffPriceClosePoc_0_5 <-> diffLowPrice_0_4;0.8280;0.8280
diffPriceClosePoc_0_1 <-> count_AbvBlw_asym_ratio;-0.8266;0.8266
diffPriceClosePoc_0_1 <-> count_blw_tot_ratio;0.8266;0.8266
diffPriceClosePoc_0_1 <-> count_abv_tot_ratio;-0.8266;0.8266
diffPriceClose_VA16PPoc <-> diffPriceClose_VA21PPoc;0.8264;0.8264
diffPriceClosePoc_0_1 <-> asymetrie_volume;-0.8262;0.8262
perct_VA6P <-> diffPriceClose_VA6PPoc;0.8249;0.8249
diffPriceClosePoc_0_1 <-> VolBlw_vol_ratio;0.8247;0.8247
diffPriceClosePoc_0_1 <-> bullish_reversal_force;0.8246;0.8246
diffPriceClose_VA16PvaL <-> diffPriceClose_VA21PPoc;0.8245;0.8245
diffPriceClosePoc_0_1 <-> VolAbv_vol_ratio;-0.8236;0.8236
diffPriceClosePoc_0_4 <-> diffHighPrice_0_5;0.8180;0.8180
candleSizeTicks <-> diffHighPrice_0_2;0.8162;0.8162
diffPriceClose_VA16PvaH <-> perct_VA21P;0.8162;0.8162
