Interaction;Value;Percentage_Contribution
diffPriceClose_VA21PvaH <-> perct_VA21P;251.2755;3.0235
ratioDeltaAbv <-> bearish_ask_bid_ratio;133.1945;1.6027
bullish_asc_dynamics <-> bearish_combined_pressure;84.5847;1.0178
bearish_market_context_score <-> bearish_repeatAskBid_ratio;71.7633;0.8635
bullish_dsc_dynamics <-> bullish_imbalance_evolution;70.3332;0.8463
finished_auction_high <-> perct_VA6P;66.5143;0.8003
ratioDeltaAbv <-> bear_imbalance_low_0;64.2616;0.7732
bullish_repeatAskBid_ratio <-> bearish_combined_pressure;59.0192;0.7101
bear_imbalance_low_0 <-> bearish_ask_bid_ratio;56.1233;0.6753
bearish_absorption_intensity_repeat_count <-> market_regimeADX;55.7240;0.6705
bearish_ask_bid_ratio <-> bear_imbalance_high_2;54.8064;0.6595
bearish_market_context_score <-> vol_volatility_score;54.4187;0.6548
bearish_dsc_ask_bid_delta_imbalance <-> perct_VA6P;53.7013;0.6462
ratio_delta_vol_VA21P <-> finished_auction_high;53.2998;0.6413
perct_VA21P <-> vol_volatility_score;52.8205;0.6356
diffVolCandle_0_1Ratio <-> diffHighPrice_0_4;51.9291;0.6248
bear_imbalance_low_2 <-> perctBB;50.7501;0.6106
bullish_absorption_score <-> diffPriceCloseVWAP;50.4611;0.6072
deltaTimestampOpeningSection1min <-> bullish_imbalance_evolution;50.1652;0.6036
bearish_bid_score <-> bullish_ask_bid_ratio;49.9697;0.6013
bullish_asc_dynamics <-> bullish_dsc_dynamics;49.8116;0.5994
bullish_combined_pressure <-> bearish_absorption_intensity_repeat_count;49.7391;0.5985
perct_VA16P <-> deltaTimestampOpeningSection5min;49.3053;0.5933
bullish_ask_bid_ratio <-> imbalance_score_low;49.2856;0.5930
bearish_combined_pressure <-> bullish_dsc_dynamics;47.7666;0.5747
ratio_delta_vol_VA6P <-> bear_imbalance_low_2;47.7465;0.5745
overlap_ratio_VA_6P_21P <-> bandWidthBB;47.3209;0.5694
bearish_market_context_score <-> perct_VA16P;47.1552;0.5674
bullish_dsc_ask_bid_delta_imbalance <-> overlap_ratio_VA_6P_21P;46.8744;0.5640
deltaTimestampOpeningSection5min <-> bull_imbalance_low_3;46.2495;0.5565
bearish_dsc_ask_bid_delta_imbalance <-> bearish_repeatAskBid_ratio;45.4340;0.5467
vol_volatility_score <-> bullish_combined_pressure;44.9840;0.5413
bullish_repeatAskBid_ratio <-> perctBB;44.9715;0.5411
diffPriceClosePoc_0_0 <-> perct_VA11P;44.9380;0.5407
bullish_asc_ask_bid_delta_imbalance <-> diffVolDelta_0_1Ratio;44.7675;0.5387
bullish_ask_bid_ratio <-> bearish_market_context_score;44.4676;0.5351
imbalance_score_high <-> diffPriceCloseVWAP;44.3050;0.5331
bearish_ask_score <-> perctBB;43.9413;0.5287
vol_volatility_score <-> overlap_ratio_VA_6P_21P;43.5629;0.5242
bear_imbalance_high_3 <-> bear_imbalance_low_0;43.4686;0.5230
perctBB <-> diffPriceClose_VA11PvaL;43.1714;0.5195
price_volume_dynamic <-> bullish_repeatAskBid_ratio;41.4876;0.4992
bear_imbalance_high_3 <-> bearish_repeatAskBid_ratio;41.1241;0.4948
bearish_market_context_score <-> poc_diff_ratio_11P_21P;40.1699;0.4833
diffHighPrice_0_2 <-> bull_imbalance_high_2;40.0967;0.4825
bull_imbalance_high_0 <-> diffHighPrice_0_5;40.0151;0.4815
bear_imbalance_high_3 <-> bear_imbalance_high_1;39.9410;0.4806
bearish_ask_bid_ratio <-> overlap_ratio_VA_6P_21P;39.6311;0.4769
perct_VA11P <-> bearish_dsc_dynamics;39.3217;0.4731
bullish_dsc_dynamics <-> pocDeltaPocVolRatio;39.2881;0.4727
bearish_dsc_ask_bid_delta_imbalance <-> diffHighPrice_0_3;39.1754;0.4714
naked_poc_dist_above <-> bearish_bid_abs_ratio_abv;38.9489;0.4686
finished_auction_high <-> diffPriceClose_VA16PvaH;38.7970;0.4668
finished_auction_high <-> diffPriceCloseVWAP;38.6331;0.4648
imbalance_score_high <-> diffPriceClosePoc_0_2;38.3742;0.4617
bullish_combined_pressure <-> diffPriceClose_VA21PvaL;38.2703;0.4605
bearish_repeatAskBid_ratio <-> range_strength_10_32;37.3979;0.4500
range_strength_10_32 <-> perctBB;37.2682;0.4484
bearish_dsc_ask_bid_delta_imbalance <-> diffLowPrice_0_4;37.2225;0.4479
perct_VA11P <-> bull_imbalance_high_2;37.0258;0.4455
bearish_combined_pressure <-> diffPriceClosePoc_0_4;36.6069;0.4405
bearish_absorption_intensity_repeat_count <-> bearish_dsc_dynamics;36.3987;0.4380
imbalance_score_high <-> bearish_abs_diff_abv;36.2072;0.4357
diffLowPrice_0_4 <-> bearish_ask_score;36.0828;0.4342
perct_VA21P <-> diffPriceClosePoc_0_0;36.0828;0.4342
bearish_repeatAskBid_ratio <-> perctBB;35.3698;0.4256
overlap_ratio_VA_6P_16P <-> bearish_bid_score;35.2991;0.4247
bearish_abs_diff_abv <-> VolPocVolCandleRatio;33.9941;0.4090
diffPriceClosePoc_0_1 <-> perct_VA21P;33.8750;0.4076
bullish_imnbScore_score <-> deltaTimestampOpeningSection1min;33.6507;0.4049
perct_VA21P <-> bearish_repeatAskBid_ratio;33.4313;0.4023
bearish_ask_bid_ratio <-> diffPriceClose_VA21PvaH;33.1747;0.3992
diffPriceClose_VA21PvaL <-> bearish_absorption_intensity_repeat_count;32.8118;0.3948
bullish_dsc_ask_bid_delta_imbalance <-> bear_imbalance_high_1;32.4990;0.3910
diffPriceClosePoc_0_1 <-> diffPriceClose_VA21PvaH;32.3274;0.3890
diffLowPrice_0_2 <-> bearish_market_context_score;32.0500;0.3856
bearish_market_context_score <-> bullish_asc_ask_bid_imbalance;32.0431;0.3856
diffPriceCloseVWAP <-> VolPocVolCandleRatio;31.2523;0.3760
bull_imbalance_high_2 <-> bearish_absorption_intensity_repeat_count;31.2370;0.3759
perct_VA6P <-> bullish_absorption_score;30.7424;0.3699
vol_volatility_score <-> bandWidthBB;30.5229;0.3673
deltaTimestampOpeningSection30min <-> bear_imbalance_high_2;30.3402;0.3651
bear_imbalance_low_0 <-> ratio_delta_vol_VA21P;29.9540;0.3604
diffPriceClosePoc_0_4 <-> bullish_asc_dynamics;29.8000;0.3586
bearish_absorption_intensity_repeat_count <-> bull_imbalance_low_3;29.4405;0.3542
bullish_absorption_ratio <-> bearish_dsc_ask_bid_delta_imbalance;29.2277;0.3517
bearish_bid_score <-> deltaTimestampOpeningSection1min;28.6743;0.3450
bearish_absorption_intensity_repeat_count <-> VolCandleMeanxRatio;28.6254;0.3444
vol_volatility_score <-> price_volume_dynamic;28.4373;0.3422
overlap_ratio_VA_6P_21P <-> overlap_ratio_VA_11P_21P;28.4335;0.3421
bull_imbalance_high_2 <-> bear_imbalance_low_0;28.4169;0.3419
bearish_absorption_intensity_repeat_count <-> ratio_delta_vol_VA6P;28.3368;0.3410
diffPriceClose_VA21PvaL <-> bearish_combined_pressure;28.3218;0.3408
diffPriceCloseVWAP <-> bearish_absorption_ratio;27.9874;0.3368
ratio_delta_vol_VA11P <-> overlap_ratio_VA_11P_21P;27.8779;0.3354
overlap_ratio_VA_6P_11P <-> bearish_imnbScore_score;27.6835;0.3331
diffPriceClose_VA6PvaL <-> bearish_imbalance_evolution;27.4687;0.3305
bearish_bid_abs_ratio_abv <-> range_strength_5_23;27.1577;0.3268
bull_imbalance_high_0 <-> bullish_dsc_dynamics;26.9372;0.3241
deltaTimestampOpeningSection5min <-> ratio_delta_vol_VA11P;26.7366;0.3217
bearish_bid_score <-> bull_imbalance_low_3;26.5557;0.3195
diffPriceClose_VA16PvaL <-> perct_VA6P;26.2602;0.3160
bearish_dsc_ask_bid_delta_imbalance <-> bullish_bid_score;25.9134;0.3118
bull_imbalance_low_1 <-> overlap_ratio_VA_11P_21P;25.7814;0.3102
vol_volatility_score <-> bullish_ask_bid_ratio;25.7746;0.3101
bear_imbalance_high_1 <-> bullish_combined_pressure;25.7599;0.3100
range_strength_5_23 <-> ratio_delta_vol_VA16P;25.6865;0.3091
overlap_ratio_VA_11P_21P <-> bullish_dsc_ask_bid_delta_imbalance;25.3068;0.3045
price_volume_dynamic <-> bearish_dsc_ask_bid_delta_imbalance;25.0232;0.3011
bear_imbalance_low_0 <-> diffHighPrice_0_2;24.8938;0.2995
diffLowPrice_0_4 <-> diffHighPrice_0_4;24.8810;0.2994
bullish_asc_ask_bid_imbalance <-> bearish_imbalance_evolution;24.8200;0.2986
diffVolDelta_0_1Ratio <-> bearish_bid_score;24.7899;0.2983
bullish_dsc_dynamics <-> perct_VA21P;24.7391;0.2977
perct_VA21P <-> bearish_market_context_score;24.4334;0.2940
diffPriceClose_VA11PPoc <-> bearish_combined_pressure;24.3865;0.2934
bull_imbalance_high_1 <-> perctBB;24.3597;0.2931
ratio_delta_vol_VA16P <-> vol_volatility_score;24.3510;0.2930
bearish_ask_score <-> bearish_dsc_ask_bid_delta_imbalance;24.2855;0.2922
bearish_dsc_ask_bid_delta_imbalance <-> bear_imbalance_high_1;23.9986;0.2888
bear_imbalance_high_3 <-> bearish_dsc_ask_bid_delta_imbalance;23.8625;0.2871
diffVolCandle_0_1Ratio <-> bearish_absorption_score;23.7605;0.2859
bullish_dsc_dynamics <-> naked_poc_dist_above;23.6343;0.2844
ratio_delta_vol_VA21P <-> diffPriceCloseVWAP;23.0984;0.2779
bear_imbalance_low_0 <-> bear_imbalance_high_1;22.9029;0.2756
diffPriceClose_VA16PvaL <-> bullish_absorption_score;22.6523;0.2726
ratio_delta_vol_VA21P <-> diffPriceClose_VA21PPoc;22.4169;0.2697
price_volume_dynamic <-> bull_imbalance_high_2;22.3935;0.2694
bearish_dsc_dynamics <-> bullish_combined_pressure;22.3361;0.2688
