feature;importance;importance_percentage;cumulative_importance_percentage
bearish_market_context_score;0.008516213;5.634739;5.634739
diffPriceClose_VA21PvaH;-0.0067247143;4.4493966;10.084135
bearish_dsc_ask_bid_delta_imbalance;0.0063969553;4.2325354;14.31667
perct_VA11P;-0.0061379736;4.0611806;18.377851
bearish_repeatAskBid_ratio;-0.0059730085;3.9520316;22.329884
perct_VA21P;0.0052797943;3.4933674;25.823252
perctBB;-0.0042056562;2.782666;28.605917
vol_volatility_score;0.004191728;2.7734501;31.379368
diffPriceCloseVWAP;-0.0041527147;2.7476373;34.127007
perct_VA16P;0.0034910173;2.3098261;36.436832
bearish_combined_pressure;0.0032034146;2.1195343;38.556366
bearish_abs_diff_abv;0.003093262;2.0466518;40.60302
bearish_dsc_dynamics;-0.0030856202;2.0415957;42.644615
imbalance_score_high;-0.0030019174;1.9862139;44.63083
naked_poc_dist_above;-0.0029100669;1.9254413;46.55627
bearish_absorption_intensity_repeat_count;0.0028491358;1.8851261;48.4414
bearish_absorption_score;0.0027687596;1.8319454;50.273346
bullish_asc_ask_bid_imbalance;-0.002666007;1.7639594;52.037304
bearish_ask_score;0.0026599253;1.7599354;53.79724
price_volume_dynamic;-0.0025236576;1.6697742;55.467014
bullish_ask_bid_ratio;-0.0024649971;1.6309615;57.097977
diffPriceClosePoc_0_0;-0.0024465024;1.6187245;58.7167
diffHighPrice_0_4;-0.0023305672;1.5420161;60.258717
bear_imbalance_low_2;-0.0021749535;1.4390546;61.697773
ratio_delta_vol_VA16P;-0.0021184944;1.4016985;63.099472
bull_imbalance_low_3;-0.0020724873;1.3712579;64.47073
bull_imbalance_high_2;-0.002054722;1.3595036;65.83024
bullish_repeatAskBid_ratio;-0.0020030485;1.3253139;67.155556
deltaTimestampOpeningSection5min;-0.0019373316;1.2818325;68.437386
diffLowPrice_0_4;-0.0019252322;1.2738268;69.71121
perct_VA6P;0.001881682;1.2450119;70.95622
diffPriceClose_VA11PPoc;-0.0017861092;1.1817764;72.138
bullish_asc_ask_bid_delta_imbalance;0.0016695306;1.1046424;73.242645
diffVolCandle_0_1Ratio;-0.0016664722;1.1026187;74.34526
cumDiffVolDeltaRatio;-0.0016416566;1.0861995;75.43146
bullish_combined_pressure;-0.001549186;1.0250165;76.456474
VolPocVolCandleRatio;0.0015077863;0.99762446;77.4541
diffPriceClose_VA16PvaL;0.0014673073;0.9708416;78.42494
diffPriceClosePoc_0_2;-0.0013938231;0.9222208;79.34716
bull_imbalance_high_0;-0.0013320958;0.8813791;80.22854
poc_diff_ratio_11P_21P;0.0013135436;0.8691041;81.09764
bullish_ask_ratio;-0.0012929516;0.85547936;81.95312
bear_imbalance_high_3;-0.0012880034;0.8522054;82.80532
pocDeltaPocVolRatio;-0.0012617464;0.83483255;83.64015
market_regimeADX;-0.0012531478;0.82914335;84.46929
deltaTimestampOpeningSection30min;-0.0012351595;0.8172413;85.28653
diffHighPrice_0_3;-0.0012111216;0.80133665;86.08787
VolCandleMeanxRatio;0.0011565231;0.76521176;86.85308
bearish_bid_score;-0.0010616054;0.70240957;87.55549
bullish_absorption_ratio;-0.0010586956;0.70048434;88.255974
bearish_ask_bid_ratio;-0.0010078804;0.6668625;88.92284
bull_imbalance_high_1;0.0009819213;0.6496867;89.572525
imbalance_score_low;0.00096271915;0.6369816;90.2095
diffVolDelta_0_1Ratio;0.0007959765;0.52665657;90.73616
diffHighPrice_0_5;-0.0007782785;0.51494676;91.25111
diffLowPrice_0_5;0.0007327201;0.48480308;91.73591
diffHighPrice_0_2;-0.00069103256;0.4572206;92.19313
range_strength_10_32;0.00068196736;0.45122263;92.644356
diffLowPrice_0_2;-0.0006551451;0.4334757;93.077835
ratio_delta_vol_VA11P;0.00064004696;0.42348605;93.50132
poc_diff_6P_21P;-0.00061470905;0.4067213;93.90804
bullish_bid_score;-0.0005525362;0.36558473;94.27363
bear_imbalance_high_2;0.000538727;0.35644785;94.63007
bearish_absorption_ratio;0.00047450783;0.31395736;94.94403
bearish_imbalance_evolution;0.0004469735;0.29573932;95.23977
bearish_dsc_ask_bid_imbalance;0.00043295548;0.28646433;95.52623
bullish_imnbScore_score;0.0004235682;0.28025323;95.80648
bear_imbalance_high_1;-0.00041188425;0.27252257;96.079
diffPriceClosePoc_0_1;0.0004079547;0.26992258;96.34892
diffPriceClosePoc_0_3;-0.0004052693;0.2681458;96.617065
bear_imbalance_low_0;-0.00039035076;0.25827497;96.87534
bull_imbalance_low_2;-0.00038273126;0.25323355;97.12858
diffPriceClosePoc_0_4;-0.00033668254;0.22276548;97.35134
overlap_ratio_VA_6P_21P;-0.00031640305;0.20934758;97.56069
bearish_ask_ratio;-0.0003122055;0.20657028;97.767265
